0,4,44201648E-09
14,4446909,5,412542E-09
14,5046008,4,88995134E-09
14,5545985,5,03926295E-09
14,604595,3,32217935E-09
14,6645916,4,81529553E-09
14,8947252,3,47149097E-09
15,0345686,3,47149097E-09
15,2447638,3,47149097E-09
15,4545423,3,47149097E-09
15,6645293,3,62080259E-09
15,8745164,3,99408163E-09
16,0845047,4,51667229E-09
16,2945752,3,99408163E-09
16,504478,3,7701142E-09
16,7144655,3,7701142E-09
16,9244528,3,91942582E-09
17,1344401,3,6954584E-09
17,3444998,4,36736067E-09
17,5544134,4,51667229E-09
17,7644009,4,51667229E-09
17,9743883,4,44201648E-09
18,1843751,4,14339325E-09
18,394439,-8,10015938E-09
18,6243477,-1,3811366E-09
18,8243359,-3,17287601E-09
19,0243246,-5,56186188E-09
19,2343108,7,87618368E-09
19,4443959,1,95224898E-08
19,6542855,9,21998824E-09
19,8742556,4,81529553E-09
20,0842585,5,18857457E-09
20,2943204,4,81529553E-09
20,5042336,4,66598391E-09
20,7142203,4,66598391E-09
20,9242076,4,44201648E-09
21,1341942,4,21804906E-09
