0,1,30647252E-09
52,1268052,0,0293508724
52,336793,0,0293484665
52,5667783,0,0293450242
52,7667127,0,029347097
52,9667518,0,0293482814
53,1767409,0,029349762
53,3867285,0,0293504282
53,5967787,0,0293491698
53,8067022,0,029347134
54,0166895,0,0293474301
54,2266758,0,0293503172
54,4366634,0,0293531303
54,6467117,0,0293543517
54,8566385,0,030490978
55,0766248,0,046753899
55,2866123,0,0681664685
55,4967451,0,0697202798
55,7065862,0,0653383758
55,9165732,0,0648613763
56,1265104,0,0648754046
56,3365482,0,0648806235
56,5664989,0,0648675206
56,7665211,0,0648805865
56,9665089,0,0648980942
57,1764959,0,0649067925
57,3864837,0,0649122335
57,5965396,0,0649150466
57,8064576,0,0649138621
58,0164447,0,0649147875
58,226432,0,0649166382
58,4364184,0,0649196733
58,6464592,0,064921376
58,8563939,0,0649244852
59,0663809,0,0649233747
59,2763676,0,0649198584
59,4863544,0,0649218942
59,6964229,0,0649282236
59,9063287,0,0649330724
60,1163143,0,064931962
60,3263037,0,0650400059
60,5362907,0,0675520359
60,7463526,0,0718964076
60,9762636,0,0727490254
61,1762361,0,0727552808
61,376239,0,0727474708
61,586226,0,0727454721
61,7962907,0,0727641642
62,0061999,0,081039239
62,2161875,0,130505876
62,4361741,0,15120526
62,6561609,0,148650553
62,8661484,0,149103382
63,0761354,0,156575734
63,2962326,0,172818334
63,5061092,0,176911418
63,7160506,0,173793765
63,9360802,0,173406117
64,1461116,0,172867119
64,3560564,0,173129881
64,5760433,0,173701267
64,7859769,0,173015175
64,9860174,0,172996779
65,1961419,0,173126883
65,4059919,0,174404052
65,6159789,0,174072628
65,8259668,0,173039604
66,035953,0,172978938
66,246082,0,173022541
66,4559275,0,174165311
66,6659131,0,174452947
66,8759019,0,17322497
67,0858888,0,173168857
67,2959376,0,17313114
67,5058632,0,174185521
67,7158508,0,174778856
67,9258375,0,173299887
68,135825,0,173106859
68,3458866,0,173187845
68,5557984,0,173881377
68,7757853,0,173444834
68,9857726,0,173458714
69,1857601,0,173872642
69,4057476,0,175224652
69,615733,0,173932049
69,8257218,0,173422107
70,0357082,0,173423143
70,2457371,0,173861797
70,4556827,0,176513147
70,6656353,0,176217479
70,8756572,0,174001228
71,085642,0,173804277
71,2957011,0,173366919
71,5056185,0,173586671
71,7156056,0,173896109
71,9255923,0,17360677
72,1355795,0,173489362
72,345627,0,173674432
72,5555545,0,173797873
72,7655407,0,173665178
72,9755286,0,175366971
73,1955828,0,174290197
73,3955754,0,173556246
73,6054898,0,173570644
73,8154767,0,173762155
74,0254638,0,17502474
74,2354514,0,174325545
74,4455173,0,1734331
74,6554259,0,173418036
74,8654125,0,173626313
75,0754001,0,174867282
75,2954719,0,174967294
75,5153563,0,173454087
75,7253601,0,173550879
75,9353475,0,173579972
76,1553342,0,174548629
76,3653212,0,175261963
76,5753079,0,173581674
76,805294,0,173810347
77,0052812,0,174311443
77,2052702,0,174948084
77,4152543,0,17343062
77,6252436,0,173320504
77,8352304,0,173452644
78,0452607,0,174196329
78,255205,0,177547541
78,4651924,0,175052611
78,6751776,0,173486697
78,8851673,0,173526042
79,0952283,0,173825153
79,3051405,0,175248156
79,5151275,0,174268247
79,7251152,0,173260282
79,9351027,0,173480663
80,1550883,0,173721143
80,3650754,0,175110131
80,5750632,0,174648751
80,7951156,0,173638084
81,0150355,0,173598812
81,2050239,0,174595044
81,4150115,0,1749754
81,6249988,0,173728805
81,8349865,0,173615431
82,0450464,0,173643266
82,2649603,0,174532676
82,4749214,0,175318964
82,6849335,0,173801945
82,8949804,0,173643377
83,104909,0,17367458
83,3148948,0,174819349
83,5248825,0,178770262
83,7348698,0,175769684
83,9449595,0,173572976
84,1548431,0,17311378
84,3748306,0,173608695
84,5848168,0,175169131
84,7948762,0,173534148
85,0247899,0,173474408
85,2147783,0,174060229
85,4247118,0,175190822
85,6347532,0,173712667
85,8447829,0,173542366
86,054685,0,17357727
86,2647145,0,174034356
86,4746481,0,17558069
86,6846887,0,174033727
86,8947213,0,173360886
87,1046623,0,1735102
87,3146496,0,173811569
87,5246368,0,175227317
87,7346225,0,173903104
87,9446928,0,149815754
88,1545981,0,0523111459
88,3645862,0,0523111459
