Episode: 106; Score: [-7.71027309]; Action: [0.98090473]
Episode: 107; Score: [-3.0331233]; Action: [0.3772775]
Episode: 108; Score: [-6.34254462]; Action: [-0.9326009]
Episode: 109; Score: [-1.88758664]; Action: [0.25158106]
Episode: 110; Score: [-9.89524722]; Action: [-0.06873549]
Episode: 111; Score: [-2.66313417]; Action: [0.43564784]
Episode: 112; Score: [-7.71597719]; Action: [0.01900818]
Episode: 113; Score: [-4.34122372]; Action: [0.95005019]
Episode: 114; Score: [-9.34922774]; Action: [-0.03811226]
Episode: 115; Score: [-2.51594872]; Action: [0.65803868]
Episode: 116; Score: [-6.09320258]; Action: [-0.00875324]
Episode: 117; Score: [-10.17146232]; Action: [-1.]
Episode: 118; Score: [-8.71043481]; Action: [0.43916256]
Episode: 119; Score: [-6.69064021]; Action: [0.679546]
Episode: 120; Score: [-1.78889328]; Action: [-0.45562774]
Episode: 121; Score: [-8.64390489]; Action: [0.88908799]
Episode: 122; Score: [-5.18299845]; Action: [0.84812662]
Episode: 123; Score: [-2.91096921]; Action: [1.]
Episode: 124; Score: [-2.63307859]; Action: [0.15760284]
Episode: 125; Score: [-8.25398611]; Action: [-0.46697041]
Episode: 126; Score: [-5.53439464]; Action: [0.89239128]
Episode: 127; Score: [-4.54940911]; Action: [0.50601024]
Episode: 128; Score: [-4.492882]; Action: [0.0667533]
Episode: 129; Score: [-8.12432642]; Action: [0.57703471]
Episode: 130; Score: [-2.2112287]; Action: [0.63024811]
Episode: 131; Score: [-2.22623048]; Action: [0.65020925]
Episode: 132; Score: [-9.98034649]; Action: [-0.09415545]
Episode: 133; Score: [-7.76494122]; Action: [-0.62645911]
Episode: 134; Score: [-10.24634721]; Action: [-0.771013]
Episode: 135; Score: [-8.59788306]; Action: [-0.86321986]
Episode: 136; Score: [-2.03283856]; Action: [0.39806275]
Episode: 137; Score: [-1.71666307]; Action: [0.07818411]
Episode: 138; Score: [-5.66143951]; Action: [-0.00821505]
Episode: 139; Score: [-8.48703521]; Action: [-0.02811973]
Episode: 140; Score: [-3.89537206]; Action: [-0.0438935]
Episode: 141; Score: [-2.79911125]; Action: [-0.46399735]
Episode: 142; Score: [-8.1577606]; Action: [-0.15228165]
Episode: 143; Score: [-3.64500303]; Action: [-0.93698516]
