Episode: 109; Score: [6.16635574]; Action: [0.58663581]
Episode: 110; Score: [8.62192852]; Action: [-0.32453887]
Episode: 111; Score: [7.82903519]; Action: [1.]
Episode: 112; Score: [8.68905191]; Action: [0.00426861]
Episode: 113; Score: [4.24563265]; Action: [0.02388656]
Episode: 114; Score: [10.10484113]; Action: [0.53519428]
Episode: 115; Score: [11.23565732]; Action: [-0.70062479]
Episode: 116; Score: [2.38236114]; Action: [0.39703742]
Episode: 117; Score: [4.2766207]; Action: [-0.9935456]
Episode: 118; Score: [8.38723115]; Action: [-0.05591412]
Episode: 119; Score: [4.9919537]; Action: [-0.12908953]
Episode: 120; Score: [4.1406058]; Action: [-0.93471902]
Episode: 121; Score: [8.17648138]; Action: [0.0175347]
Episode: 122; Score: [6.60179142]; Action: [0.63993821]
Episode: 123; Score: [9.32640687]; Action: [-0.64069713]
Episode: 124; Score: [6.89640573]; Action: [0.35213101]
Episode: 125; Score: [5.98784113]; Action: [-0.19690118]
Episode: 126; Score: [3.62046851]; Action: [0.84982076]
Episode: 127; Score: [9.24390138]; Action: [0.02576245]
