Episode: 0; Score: 3.4505102572168225; Action: [2 1 2 2 2]
Episode: 1; Score: 1.0; Action: [2 1 1 0 2]
Episode: 2; Score: -0.2; Action: [1 0 0 1 1]
Episode: 3; Score: 0.09999999999999998; Action: [1 0 0 2 2]
Episode: 4; Score: -0.3500000000000001; Action: [1 2 2 2 0]
Episode: 5; Score: -0.55; Action: [2 2 2 0 0]
Episode: 6; Score: 3.3256773313361365; Action: [2 1 1 2 2]
Episode: 7; Score: 0.3; Action: [2 0 2 2 1]
Episode: 8; Score: -0.4; Action: [1 0 0 1 0]
Episode: 9; Score: -0.6000000000000001; Action: [0 2 0 0 0]
Episode: 10; Score: -0.55; Action: [1 2 2 2 1]
Episode: 11; Score: -0.5; Action: [0 2 1 1 2]
Episode: 12; Score: 3.096074180724462; Action: [2 1 2 2 2]
Episode: 13; Score: 0.55; Action: [2 1 2 2 0]
Episode: 14; Score: 0.09999999999999998; Action: [2 2 2 2 0]
Episode: 15; Score: -0.6000000000000001; Action: [0 0 0 1 1]
Episode: 16; Score: -0.55; Action: [2 0 2 1 1]
Episode: 17; Score: -0.75; Action: [0 0 2 2 0]
Episode: 18; Score: 1.2300508481880053; Action: [0 0 0 0 0]
Episode: 19; Score: 0.3; Action: [1 1 2 0 2]
Episode: 20; Score: -0.15000000000000002; Action: [1 2 2 1 2]
Episode: 21; Score: -0.10000000000000009; Action: [0 1 2 0 2]
Episode: 22; Score: -0.30000000000000004; Action: [2 2 1 1 0]
Episode: 23; Score: -0.5; Action: [2 2 2 2 0]
Episode: 24; Score: 5.570277300154709; Action: [1 1 1 1 1]
Episode: 25; Score: 0.55; Action: [2 2 1 0 2]
Episode: 26; Score: -0.4; Action: [1 2 0 1 1]
Episode: 27; Score: -0.10000000000000009; Action: [0 1 2 2 0]
Episode: 28; Score: -0.30000000000000004; Action: [2 1 0 0 1]
Episode: 29; Score: -1.0; Action: [0 2 0 1 1]
Episode: 30; Score: 1.5662636225581774; Action: [0 0 0 0 0]
Episode: 31; Score: 0.3; Action: [1 2 1 1 2]
Episode: 32; Score: 1.467002935423554; Action: [0 0 0 0 0]
Episode: 33; Score: -0.2; Action: [1 2 0 1 1]
Episode: 34; Score: 0.09999999999999998; Action: [0 2 2 2 2]
Episode: 35; Score: -0.6000000000000001; Action: [0 2 0 0 0]
Episode: 36; Score: 2.9846955562068653; Action: [2 1 2 2 2]
Episode: 37; Score: -0.2; Action: [1 0 0 1 1]
Episode: 38; Score: -0.15000000000000002; Action: [1 2 0 1 2]
Episode: 39; Score: -0.10000000000000009; Action: [1 0 0 2 2]
Episode: 40; Score: -0.55; Action: [0 0 0 2 1]
Episode: 41; Score: -0.25; Action: [2 2 1 1 2]
Episode: 42; Score: 2.9727145680682248; Action: [2 1 2 2 2]
Episode: 43; Score: 0.3; Action: [0 0 1 2 0]
Episode: 44; Score: 1.0; Action: [2 1 0 2 2]
Episode: 45; Score: 0.55; Action: [1 1 1 0 2]
Episode: 46; Score: -0.15000000000000002; Action: [1 1 2 0 0]
Episode: 47; Score: -0.10000000000000009; Action: [0 0 1 2 1]
Episode: 48; Score: 3.402625498221292; Action: [2 1 1 2 2]
Episode: 49; Score: 1.0; Action: [2 1 1 1 2]
Episode: 50; Score: 0.55; Action: [0 1 1 1 2]
Episode: 51; Score: -0.4; Action: [0 2 2 0 0]
Episode: 52; Score: -0.6000000000000001; Action: [1 0 2 0 1]
Episode: 53; Score: -0.30000000000000004; Action: [2 2 1 1 0]
Episode: 54; Score: 5.205819707968619; Action: [1 1 1 1 1]
Episode: 55; Score: 0.04999999999999999; Action: [1 2 2 2 0]
Episode: 56; Score: -0.15000000000000002; Action: [0 0 1 1 1]
Episode: 57; Score: -0.6000000000000001; Action: [0 0 2 1 1]
Episode: 58; Score: -0.55; Action: [2 2 0 1 0]
Episode: 59; Score: -0.5; Action: [2 2 2 2 0]
Episode: 60; Score: 3.073518087798898; Action: [2 1 2 2 2]
Episode: 61; Score: 0.04999999999999999; Action: [2 2 2 1 0]
Episode: 62; Score: 5.0648197336874485; Action: [1 1 1 1 1]
Episode: 63; Score: 0.04999999999999999; Action: [0 2 0 2 0]
Episode: 64; Score: 4.911576892338583; Action: [1 1 1 1 1]
Episode: 65; Score: 0.3; Action: [1 2 0 2 2]
Episode: 66; Score: 5.29377594866439; Action: [1 1 1 1 1]
Episode: 67; Score: 0.04999999999999999; Action: [0 0 0 0 2]
Episode: 68; Score: 0.35; Action: [2 0 1 2 1]
Episode: 69; Score: -0.10000000000000009; Action: [1 0 0 2 2]
Episode: 70; Score: -0.30000000000000004; Action: [0 1 1 0 1]
Episode: 71; Score: 1.0; Action: [2 1 1 2 1]
Episode: 72; Score: 2.9658902542679155; Action: [2 1 2 2 2]
Episode: 73; Score: 0.3; Action: [2 0 2 2 1]
Episode: 74; Score: 0.09999999999999998; Action: [0 1 2 2 0]
Episode: 75; Score: -0.3500000000000001; Action: [1 2 2 1 2]
Episode: 76; Score: 1.0; Action: [2 2 1 2 2]
Episode: 77; Score: 0.55; Action: [1 0 1 2 2]
Episode: 78; Score: 5.0900873774053705; Action: [1 1 1 1 1]
Episode: 79; Score: 0.04999999999999999; Action: [0 2 2 2 0]
Episode: 80; Score: 0.09999999999999998; Action: [2 2 2 2 0]
Episode: 81; Score: -0.3500000000000001; Action: [1 0 2 1 2]
Episode: 82; Score: -0.55; Action: [0 0 2 1 2]
Episode: 83; Score: -1.0; Action: [1 0 2 1 0]
Episode: 84; Score: 3.2436196849804264; Action: [2 1 1 2 2]
Episode: 85; Score: 0.55; Action: [2 0 1 0 2]
Episode: 86; Score: -0.15000000000000002; Action: [0 2 0 1 2]
Episode: 87; Score: -0.6000000000000001; Action: [0 2 0 0 1]
Episode: 88; Score: -0.050000000000000044; Action: [1 2 1 2 2]
Episode: 89; Score: -0.25; Action: [0 1 1 2 0]
Episode: 90; Score: 5.562807881432845; Action: [1 1 1 1 1]
Episode: 91; Score: 0.3; Action: [2 1 0 1 1]
Episode: 92; Score: -0.15000000000000002; Action: [1 1 2 0 0]
Episode: 93; Score: -0.3500000000000001; Action: [2 0 2 1 0]
Episode: 94; Score: -0.55; Action: [0 2 1 0 0]
Episode: 95; Score: -0.25; Action: [2 1 0 0 2]
Episode: 96; Score: 3.229981273473911; Action: [2 1 2 2 2]
Episode: 97; Score: 0.55; Action: [2 0 1 2 0]
Episode: 98; Score: 0.35; Action: [0 0 1 2 2]
Episode: 99; Score: -0.3500000000000001; Action: [1 2 0 0 2]
Episode: 100; Score: -0.30000000000000004; Action: [2 1 2 0 0]
Episode: 101; Score: -0.75; Action: [1 2 0 0 2]
Episode: 102; Score: 3.2848995062280393; Action: [2 1 1 2 2]
Episode: 103; Score: 0.3; Action: [2 2 2 1 2]
Episode: 104; Score: -0.15000000000000002; Action: [0 0 2 1 2]
Episode: 105; Score: 0.1499999999999999; Action: [2 1 0 1 2]
Episode: 106; Score: -0.55; Action: [1 2 0 1 2]
Episode: 107; Score: -0.75; Action: [2 0 2 1 1]
Episode: 108; Score: 1.3637481856388973; Action: [0 0 0 0 0]
