Episode: 0; Score: 3.248988054642294; Action: [2 1 1 2 2]
Episode: 1; Score: 0.04999999999999999; Action: [1 0 2 2 1]
Episode: 2; Score: 0.09999999999999998; Action: [2 2 1 1 1]
Episode: 3; Score: 0.1499999999999999; Action: [2 1 2 1 2]
Episode: 4; Score: 3.3271670116302294; Action: [2 1 1 2 2]
Episode: 5; Score: 1.0; Action: [2 0 1 2 2]
Episode: 6; Score: 0.55; Action: [2 1 1 0 0]
Episode: 7; Score: 0.09999999999999998; Action: [2 2 2 1 2]
Episode: 8; Score: 1.5562548701380843; Action: [0 0 0 0 0]
Episode: 9; Score: 0.3; Action: [2 0 1 1 0]
Episode: 10; Score: 0.09999999999999998; Action: [0 1 0 0 2]
Episode: 11; Score: -0.3500000000000001; Action: [0 0 1 0 0]
Episode: 12; Score: 1.4799736844383253; Action: [0 0 0 0 0]
Episode: 13; Score: 0.3; Action: [2 1 2 0 1]
Episode: 14; Score: 0.09999999999999998; Action: [2 0 0 1 2]
Episode: 15; Score: -0.3500000000000001; Action: [0 1 0 1 0]
Episode: 16; Score: 2.9556834409323445; Action: [2 1 2 2 2]
Episode: 17; Score: 0.04999999999999999; Action: [1 1 0 1 0]
Episode: 18; Score: -0.15000000000000002; Action: [0 1 0 1 0]
Episode: 19; Score: -0.10000000000000009; Action: [0 0 1 2 0]
Episode: 20; Score: 1.398213497372387; Action: [0 0 0 0 0]
Episode: 21; Score: 0.04999999999999999; Action: [1 1 0 0 1]
Episode: 22; Score: -0.15000000000000002; Action: [0 2 0 2 1]
Episode: 23; Score: -0.3500000000000001; Action: [2 0 0 0 0]
Episode: 24; Score: 5.138866037281616; Action: [1 1 1 1 1]
Episode: 25; Score: 0.3; Action: [1 0 1 1 2]
Episode: 26; Score: 0.09999999999999998; Action: [0 1 0 2 0]
Episode: 27; Score: -0.3500000000000001; Action: [0 2 0 2 0]
Episode: 28; Score: 1.2232501582946462; Action: [0 0 0 0 0]
Episode: 29; Score: 0.04999999999999999; Action: [1 0 1 0 0]
Episode: 30; Score: 1.0; Action: [2 1 1 0 2]
Episode: 31; Score: 0.3; Action: [2 0 2 2 0]
Episode: 32; Score: 1.4813953773282527; Action: [0 0 0 0 0]
Episode: 33; Score: -0.2; Action: [0 0 2 1 1]
Episode: 34; Score: -0.4; Action: [0 2 0 0 0]
Episode: 35; Score: -0.10000000000000009; Action: [0 1 1 0 0]
Episode: 36; Score: 1.4115290370925884; Action: [0 0 0 0 0]
Episode: 37; Score: -0.2; Action: [1 0 2 1 1]
Episode: 38; Score: 0.35; Action: [2 2 1 0 2]
Episode: 39; Score: -0.3500000000000001; Action: [0 1 0 1 0]
Episode: 40; Score: 2.9482208754718795; Action: [2 1 2 2 2]
Episode: 41; Score: -0.2; Action: [1 0 2 0 0]
Episode: 42; Score: -0.15000000000000002; Action: [2 2 2 0 0]
Episode: 43; Score: -0.3500000000000001; Action: [2 0 0 0 1]
Episode: 44; Score: 3.2886784954739876; Action: [2 1 2 2 2]
Episode: 45; Score: 0.04999999999999999; Action: [0 0 0 2 1]
Episode: 46; Score: 0.09999999999999998; Action: [2 2 1 1 1]
Episode: 47; Score: 0.1499999999999999; Action: [0 2 1 2 2]
Episode: 48; Score: 3.5601091988288456; Action: [2 1 1 2 2]
Episode: 49; Score: 1.2214275387266336; Action: [0 0 0 0 0]
Episode: 50; Score: 0.04999999999999999; Action: [1 2 1 0 1]
Episode: 51; Score: 0.09999999999999998; Action: [2 0 1 0 0]
Episode: 52; Score: 3.143190249581956; Action: [2 1 2 2 2]
Episode: 53; Score: 0.3; Action: [2 2 1 0 0]
Episode: 54; Score: 0.35; Action: [0 1 0 2 2]
Episode: 55; Score: -0.3500000000000001; Action: [1 2 2 2 0]
Episode: 56; Score: 5.461121205621092; Action: [1 1 1 1 1]
Episode: 57; Score: 0.04999999999999999; Action: [1 2 2 0 2]
Episode: 58; Score: 0.09999999999999998; Action: [2 0 2 2 0]
Episode: 59; Score: -0.10000000000000009; Action: [2 0 2 0 2]
Episode: 60; Score: 5.486201371120147; Action: [1 1 1 1 1]
Episode: 61; Score: 0.04999999999999999; Action: [1 2 2 2 0]
Episode: 62; Score: -0.4; Action: [1 0 0 1 0]
Episode: 63; Score: -0.3500000000000001; Action: [1 0 1 1 1]
Episode: 64; Score: 1.2233514697611123; Action: [0 0 0 0 0]
Episode: 65; Score: 0.04999999999999999; Action: [0 1 0 0 0]
Episode: 66; Score: -0.15000000000000002; Action: [2 2 0 1 0]
Episode: 67; Score: -0.10000000000000009; Action: [1 1 0 2 0]
Episode: 68; Score: 3.3514082007767767; Action: [2 1 1 2 2]
Episode: 69; Score: 0.04999999999999999; Action: [0 2 2 2 0]
Episode: 70; Score: 0.09999999999999998; Action: [1 0 0 2 2]
Episode: 71; Score: -0.10000000000000009; Action: [0 2 1 2 0]
Episode: 72; Score: 2.9296464856855846; Action: [2 1 2 2 2]
Episode: 73; Score: 0.04999999999999999; Action: [1 2 0 1 2]
Episode: 74; Score: -0.15000000000000002; Action: [1 2 2 1 2]
Episode: 75; Score: -0.3500000000000001; Action: [0 0 0 2 1]
Episode: 76; Score: 5.203573005255226; Action: [1 1 1 1 1]
Episode: 77; Score: -0.2; Action: [0 0 0 0 1]
Episode: 78; Score: -0.15000000000000002; Action: [0 1 2 0 0]
Episode: 79; Score: -0.10000000000000009; Action: [1 0 0 2 2]
Episode: 80; Score: 3.3683997155948973; Action: [2 1 2 2 2]
Episode: 81; Score: 0.04999999999999999; Action: [1 0 1 0 0]
Episode: 82; Score: 0.09999999999999998; Action: [2 1 0 1 1]
Episode: 83; Score: -0.6000000000000001; Action: [1 0 0 0 1]
Episode: 84; Score: 3.5116951618354917; Action: [2 1 2 2 2]
Episode: 85; Score: 0.04999999999999999; Action: [0 2 1 0 1]
Episode: 86; Score: 3.029285803149328; Action: [2 1 2 2 2]
Episode: 87; Score: -0.2; Action: [0 0 0 0 1]
Episode: 88; Score: 1.4430028901760927; Action: [0 0 0 0 0]
Episode: 89; Score: 1.0; Action: [2 1 0 2 2]
Episode: 90; Score: 0.55; Action: [1 1 1 0 2]
