Episode: 0; Score: 3.0406294398941576; Action: [2. 1. 2. 2. 2.]
Episode: 1; Score: 0.04999999999999999; Action: [1. 0. 0. 0. 2.]
Episode: 2; Score: 0.09999999999999998; Action: [2. 0. 2. 2. 1.]
Episode: 3; Score: -0.10000000000000009; Action: [2. 2. 0. 0. 2.]
Episode: 4; Score: -0.050000000000000044; Action: [2. 2. 2. 2. 2.]
Episode: 5; Score: -0.5; Action: [1. 1. 0. 1. 2.]
Episode: 6; Score: 3.3938076689926615; Action: [2. 1. 2. 2. 2.]
Episode: 7; Score: 0.04999999999999999; Action: [1. 2. 0. 2. 0.]
Episode: 8; Score: 0.35; Action: [0. 2. 1. 2. 2.]
Episode: 9; Score: -0.6000000000000001; Action: [0. 2. 2. 0. 0.]
Episode: 10; Score: -0.55; Action: [2. 0. 0. 1. 1.]
Episode: 11; Score: -1.0; Action: [1. 0. 2. 0. 1.]
Episode: 12; Score: 5.452998696785158; Action: [1. 1. 1. 1. 1.]
Episode: 13; Score: 0.3; Action: [2. 0. 0. 2. 0.]
Episode: 14; Score: 0.09999999999999998; Action: [2. 2. 0. 0. 2.]
Episode: 15; Score: 0.1499999999999999; Action: [1. 1. 1. 1. 2.]
Episode: 16; Score: -0.8; Action: [0. 0. 0. 1. 0.]
Episode: 17; Score: -0.25; Action: [2. 1. 0. 0. 2.]
Episode: 18; Score: 3.365921408008454; Action: [2. 1. 1. 2. 2.]
Episode: 19; Score: 0.04999999999999999; Action: [0. 2. 2. 1. 2.]
Episode: 20; Score: 0.35; Action: [2. 2. 1. 1. 2.]
Episode: 21; Score: -0.3500000000000001; Action: [2. 0. 2. 1. 1.]
Episode: 22; Score: -0.050000000000000044; Action: [2. 0. 1. 2. 0.]
Episode: 23; Score: -0.5; Action: [2. 2. 0. 2. 1.]
Episode: 24; Score: 3.228898843609999; Action: [2. 1. 1. 2. 2.]
Episode: 25; Score: 0.3; Action: [2. 2. 0. 2. 1.]
Episode: 26; Score: -0.15000000000000002; Action: [0. 2. 2. 2. 0.]
