Episode: 0; Score: 5.543557534456016; Action: [1 1 1 1 1]
Episode: 1; Score: 0.3; Action: [1 2 1 1 2]
Episode: 2; Score: 0.09999999999999998; Action: [0 2 1 0 2]
Episode: 3; Score: -0.3500000000000001; Action: [0 0 2 0 2]
Episode: 4; Score: -0.050000000000000044; Action: [2 0 2 2 2]
Episode: 5; Score: -0.75; Action: [2 0 0 0 1]
Episode: 6; Score: 1.2492744361265529; Action: [0 0 0 0 0]
Episode: 7; Score: 0.3; Action: [0 1 2 2 0]
Episode: 8; Score: 0.09999999999999998; Action: [2 2 0 2 1]
Episode: 9; Score: -0.10000000000000009; Action: [2 0 1 1 1]
Episode: 10; Score: -0.55; Action: [1 1 0 0 0]
Episode: 11; Score: -0.25; Action: [2 2 1 1 2]
Episode: 12; Score: 3.468727218571739; Action: [2 1 1 2 2]
Episode: 13; Score: 0.3; Action: [2 1 2 0 1]
Episode: 14; Score: 1.2544227315870546; Action: [0 0 0 0 0]
Episode: 15; Score: 0.3; Action: [1 1 2 2 0]
Episode: 16; Score: 0.09999999999999998; Action: [0 2 1 1 2]
Episode: 17; Score: 0.1499999999999999; Action: [2 2 1 1 2]
Episode: 18; Score: 3.6033120499042846; Action: [2 1 1 2 2]
Episode: 19; Score: 0.3; Action: [0 2 1 2 1]
Episode: 20; Score: 0.09999999999999998; Action: [2 2 0 2 0]
Episode: 21; Score: 3.2185149532124906; Action: [2 1 1 2 2]
Episode: 22; Score: 0.04999999999999999; Action: [0 2 2 2 1]
Episode: 23; Score: -0.15000000000000002; Action: [0 2 1 0 1]
Episode: 24; Score: 3.22617985350706; Action: [2 1 1 2 2]
Episode: 25; Score: -0.2; Action: [0 2 2 1 0]
Episode: 26; Score: 1.0; Action: [2 1 1 2 0]
Episode: 27; Score: 0.3; Action: [1 1 2 2 1]
Episode: 28; Score: 0.09999999999999998; Action: [2 0 2 1 2]
Episode: 29; Score: 0.1499999999999999; Action: [0 1 1 1 2]
Episode: 30; Score: 3.3709950751747675; Action: [2 1 1 2 2]
Episode: 31; Score: 0.04999999999999999; Action: [0 0 1 0 0]
Episode: 32; Score: 0.09999999999999998; Action: [2 1 2 0 0]
Episode: 33; Score: -0.6000000000000001; Action: [0 2 2 0 1]
Episode: 34; Score: -0.30000000000000004; Action: [2 2 0 1 2]
Episode: 35; Score: -0.75; Action: [1 2 0 2 1]
Episode: 36; Score: 1.2190002807411788; Action: [0 0 0 0 0]
Episode: 37; Score: 0.3; Action: [2 0 2 2 0]
Episode: 38; Score: 0.09999999999999998; Action: [1 1 0 1 2]
Episode: 39; Score: -0.3500000000000001; Action: [1 2 2 2 0]
Episode: 40; Score: -0.55; Action: [1 0 2 0 2]
Episode: 41; Score: -1.0; Action: [1 0 2 1 1]
Episode: 42; Score: 3.3783756870813693; Action: [2 1 1 2 2]
Episode: 43; Score: 0.04999999999999999; Action: [1 0 0 2 1]
Episode: 44; Score: -0.15000000000000002; Action: [0 1 0 0 0]
Episode: 45; Score: -0.6000000000000001; Action: [1 0 2 1 0]
Episode: 46; Score: -0.8; Action: [1 2 0 1 0]
Episode: 47; Score: -0.5; Action: [1 1 0 0 2]
Episode: 48; Score: 5.564020201962945; Action: [1 1 1 1 1]
Episode: 49; Score: 1.0; Action: [2 1 1 2 1]
Episode: 50; Score: -0.2; Action: [0 2 2 1 0]
Episode: 51; Score: -0.15000000000000002; Action: [0 1 0 0 1]
Episode: 52; Score: -0.6000000000000001; Action: [0 0 2 0 0]
Episode: 53; Score: -0.30000000000000004; Action: [0 1 1 0 0]
Episode: 54; Score: 3.5011225722690273; Action: [2 1 1 2 2]
Episode: 55; Score: 0.04999999999999999; Action: [2 0 0 1 0]
Episode: 56; Score: -0.15000000000000002; Action: [0 0 1 0 0]
Episode: 57; Score: 0.1499999999999999; Action: [1 2 1 2 2]
Episode: 58; Score: -0.55; Action: [1 0 2 2 0]
Episode: 59; Score: 1.0; Action: [2 2 1 2 2]
Episode: 60; Score: 5.1569352226487; Action: [1 1 1 1 1]
Episode: 61; Score: 0.04999999999999999; Action: [0 0 0 1 2]
Episode: 62; Score: -0.15000000000000002; Action: [0 1 2 1 0]
Episode: 63; Score: -0.3500000000000001; Action: [2 0 0 1 0]
Episode: 64; Score: -0.8; Action: [0 2 2 0 1]
Episode: 65; Score: -0.25; Action: [2 1 1 1 0]
Episode: 66; Score: 1.320107146273906; Action: [0 0 0 0 0]
Episode: 67; Score: 0.3; Action: [0 0 0 2 2]
Episode: 68; Score: -0.15000000000000002; Action: [2 2 2 0 0]
Episode: 69; Score: -0.10000000000000009; Action: [1 0 0 2 2]
Episode: 70; Score: -0.30000000000000004; Action: [2 1 2 0 0]
Episode: 71; Score: -0.5; Action: [2 2 2 1 2]
Episode: 72; Score: 1.2999764707510664; Action: [0 0 0 0 0]
Episode: 73; Score: -0.2; Action: [1 2 2 1 0]
Episode: 74; Score: -0.4; Action: [1 2 0 0 1]
Episode: 75; Score: -0.10000000000000009; Action: [2 0 1 0 0]
Episode: 76; Score: -0.55; Action: [2 2 2 0 1]
Episode: 77; Score: -0.5; Action: [1 1 2 0 2]
Episode: 78; Score: 1.216576326275778; Action: [0 0 0 0 0]
Episode: 79; Score: 0.3; Action: [0 1 2 2 1]
Episode: 80; Score: -0.15000000000000002; Action: [1 2 0 0 2]
Episode: 81; Score: -0.10000000000000009; Action: [2 2 0 2 0]
Episode: 82; Score: -0.8; Action: [0 2 0 0 1]
Episode: 83; Score: -0.5; Action: [0 2 2 2 2]
Episode: 84; Score: 3.267708190244324; Action: [2 1 1 2 2]
Episode: 85; Score: 0.04999999999999999; Action: [0 1 0 0 0]
Episode: 86; Score: 0.09999999999999998; Action: [0 2 2 2 2]
Episode: 87; Score: -0.6000000000000001; Action: [1 0 0 0 1]
Episode: 88; Score: -0.55; Action: [2 0 2 1 1]
Episode: 89; Score: -0.75; Action: [2 0 0 0 1]
Episode: 90; Score: 5.252863354031337; Action: [1 1 1 1 1]
Episode: 91; Score: 0.3; Action: [0 1 2 1 2]
Episode: 92; Score: -0.4; Action: [0 0 2 1 0]
Episode: 93; Score: -0.10000000000000009; Action: [0 1 2 0 2]
Episode: 94; Score: -0.30000000000000004; Action: [2 2 2 2 1]
Episode: 95; Score: -1.0; Action: [1 0 0 1 0]
Episode: 96; Score: 1.2354490656260444; Action: [0 0 0 0 0]
Episode: 97; Score: 0.04999999999999999; Action: [0 0 1 1 0]
Episode: 98; Score: -0.15000000000000002; Action: [1 1 0 1 1]
Episode: 99; Score: -0.6000000000000001; Action: [0 0 2 1 0]
Episode: 100; Score: -0.30000000000000004; Action: [1 1 2 1 2]
Episode: 101; Score: -0.5; Action: [2 0 1 0 1]
Episode: 102; Score: 5.430195329715204; Action: [1 1 1 1 1]
Episode: 103; Score: 0.3; Action: [1 1 2 1 2]
Episode: 104; Score: -0.15000000000000002; Action: [1 2 2 1 2]
Episode: 105; Score: -0.10000000000000009; Action: [0 0 1 2 0]
Episode: 106; Score: -0.30000000000000004; Action: [0 2 1 0 2]
Episode: 107; Score: -0.25; Action: [2 1 0 2 1]
Episode: 108; Score: 1.3975393920598236; Action: [0 0 0 0 0]
Episode: 109; Score: -0.2; Action: [0 0 2 0 0]
Episode: 110; Score: -0.15000000000000002; Action: [2 0 2 0 1]
Episode: 111; Score: -0.3500000000000001; Action: [1 2 0 2 1]
Episode: 112; Score: -0.55; Action: [0 2 0 0 2]
Episode: 113; Score: -1.0; Action: [1 2 0 1 1]
Episode: 114; Score: 3.218632660965393; Action: [2 1 1 2 2]
Episode: 115; Score: 0.55; Action: [2 2 0 2 2]
Episode: 116; Score: 0.09999999999999998; Action: [2 2 1 0 0]
Episode: 117; Score: -0.3500000000000001; Action: [2 2 0 0 0]
Episode: 118; Score: -0.55; Action: [0 2 0 1 2]
Episode: 119; Score: -1.0; Action: [1 0 0 1 0]
Episode: 120; Score: 1.345696521190867; Action: [0 0 0 0 0]
