Episode: 0; Score: 64.6466446343226; Action: [2 1 1 2 2]
Episode: 1; Score: -0.2; Action: [0 2 2 1 1]
Episode: 2; Score: -0.15000000000000002; Action: [2 0 2 0 1]
Episode: 3; Score: 0.1499999999999999; Action: [2 2 2 2 2]
Episode: 4; Score: 65.11137077377134; Action: [2 1 1 2 2]
Episode: 5; Score: 0.55; Action: [2 1 0 2 0]
Episode: 6; Score: -0.4; Action: [1 2 0 0 1]
Episode: 7; Score: -0.10000000000000009; Action: [1 0 0 2 2]
Episode: 8; Score: 69.9299570280267; Action: [2 1 1 2 2]
Episode: 9; Score: 0.55; Action: [2 0 1 0 2]
Episode: 10; Score: 0.09999999999999998; Action: [2 2 1 1 0]
Episode: 11; Score: -0.6000000000000001; Action: [1 0 0 0 1]
Episode: 12; Score: 67.37194453665043; Action: [2 1 2 2 2]
Episode: 13; Score: 0.04999999999999999; Action: [0 0 2 2 1]
Episode: 14; Score: -0.15000000000000002; Action: [1 2 2 0 2]
Episode: 15; Score: -0.10000000000000009; Action: [1 2 0 2 2]
Episode: 16; Score: 29.363551119622237; Action: [0 0 0 0 0]
Episode: 17; Score: 1.0; Action: [2 1 1 2 1]
Episode: 18; Score: 0.55; Action: [0 1 1 0 2]
Episode: 19; Score: 0.09999999999999998; Action: [1 0 0 2 2]
Episode: 20; Score: 58.62660528485844; Action: [2 1 2 2 2]
Episode: 21; Score: 0.04999999999999999; Action: [2 0 2 1 0]
Episode: 22; Score: 0.35; Action: [2 1 0 1 2]
Episode: 23; Score: 0.1499999999999999; Action: [1 1 1 1 2]
Episode: 24; Score: 28.403291310644395; Action: [0 0 0 0 0]
Episode: 25; Score: 0.04999999999999999; Action: [1 0 1 1 0]
Episode: 26; Score: -0.4; Action: [1 2 2 0 1]
Episode: 27; Score: 1.0; Action: [2 1 1 0 2]
Episode: 28; Score: 109.83958762764854; Action: [1 1 1 1 1]
Episode: 29; Score: 0.3; Action: [1 1 0 1 2]
