Episode: 0; Score: 35.440578350408366; Action: [1 1 1 1 1]
Episode: 1; Score: 0.55; Action: [0 1 2 2 2]
Episode: 2; Score: 0.35; Action: [2 1 0 2 0]
Episode: 3; Score: -0.10000000000000009; Action: [0 1 1 1 1]
Episode: 4; Score: -0.55; Action: [0 0 2 2 0]
Episode: 5; Score: -0.75; Action: [0 2 0 0 2]
Episode: 6; Score: 8.621038815797183; Action: [0 0 0 0 0]
Episode: 7; Score: 0.55; Action: [2 1 2 1 2]
Episode: 8; Score: 0.09999999999999998; Action: [2 2 2 0 2]
Episode: 9; Score: -0.10000000000000009; Action: [0 2 2 2 2]
Episode: 10; Score: -0.30000000000000004; Action: [2 1 0 1 1]
Episode: 11; Score: -0.75; Action: [1 2 0 0 2]
Episode: 12; Score: 24.16071763462659; Action: [2 1 2 2 2]
Episode: 13; Score: 0.55; Action: [2 2 1 0 2]
Episode: 14; Score: 0.09999999999999998; Action: [1 0 1 2 0]
Episode: 15; Score: 0.1499999999999999; Action: [2 1 2 2 0]
Episode: 16; Score: -0.55; Action: [1 0 0 2 1]
Episode: 17; Score: -0.25; Action: [0 1 2 2 2]
Episode: 18; Score: 21.09071995344713; Action: [2 1 2 2 2]
Episode: 19; Score: -0.2; Action: [1 0 0 1 0]
Episode: 20; Score: -0.15000000000000002; Action: [0 0 2 2 0]
Episode: 21; Score: -0.3500000000000001; Action: [1 2 2 2 0]
Episode: 22; Score: -0.050000000000000044; Action: [2 1 1 0 1]
Episode: 23; Score: -0.5; Action: [2 2 2 2 1]
Episode: 24; Score: 10.81121204460511; Action: [0 0 0 0 0]
Episode: 25; Score: 0.04999999999999999; Action: [1 1 2 0 1]
Episode: 26; Score: -0.15000000000000002; Action: [0 2 2 1 2]
Episode: 27; Score: -0.3500000000000001; Action: [0 1 2 0 0]
Episode: 28; Score: -0.30000000000000004; Action: [0 0 1 2 1]
Episode: 29; Score: -0.5; Action: [1 1 2 2 0]
Episode: 30; Score: 24.69806224818073; Action: [2 1 1 2 2]
Episode: 31; Score: 0.3; Action: [1 2 1 0 2]
Episode: 32; Score: -0.15000000000000002; Action: [0 1 0 1 0]
Episode: 33; Score: 0.1499999999999999; Action: [2 0 1 2 0]
Episode: 34; Score: -0.30000000000000004; Action: [2 2 2 1 2]
Episode: 35; Score: -1.0; Action: [0 0 0 0 1]
Episode: 36; Score: 11.061873415980253; Action: [0 0 0 0 0]
Episode: 37; Score: 0.04999999999999999; Action: [1 0 1 0 1]
Episode: 38; Score: 0.35; Action: [2 2 0 2 2]
Episode: 39; Score: -0.6000000000000001; Action: [0 0 2 1 0]
Episode: 40; Score: -0.050000000000000044; Action: [1 1 1 2 0]
Episode: 41; Score: -0.75; Action: [0 0 0 0 2]
Episode: 42; Score: 22.535373331252188; Action: [2 1 1 2 2]
Episode: 43; Score: -0.2; Action: [1 0 0 0 1]
Episode: 44; Score: -0.4; Action: [0 2 0 0 1]
Episode: 45; Score: -0.6000000000000001; Action: [1 2 0 0 0]
Episode: 46; Score: -0.30000000000000004; Action: [1 1 2 2 1]
Episode: 47; Score: -0.25; Action: [0 1 1 0 2]
Episode: 48; Score: 35.08717904320063; Action: [1 1 1 1 1]
Episode: 49; Score: 0.04999999999999999; Action: [1 0 1 0 1]
Episode: 50; Score: 0.09999999999999998; Action: [0 1 0 0 2]
Episode: 51; Score: 0.1499999999999999; Action: [1 1 1 0 2]
Episode: 52; Score: -0.55; Action: [2 0 0 0 0]
Episode: 53; Score: -0.25; Action: [2 2 1 0 2]
Episode: 54; Score: 21.039866732916096; Action: [2 1 2 2 2]
Episode: 55; Score: 0.04999999999999999; Action: [0 1 0 0 1]
Episode: 56; Score: 21.845540357028675; Action: [2 1 2 2 2]
Episode: 57; Score: 0.04999999999999999; Action: [1 1 0 1 0]
Episode: 58; Score: 0.09999999999999998; Action: [1 1 2 0 2]
Episode: 59; Score: -0.10000000000000009; Action: [0 1 2 0 2]
Episode: 60; Score: 38.26422551823981; Action: [1 1 1 1 1]
Episode: 61; Score: 0.04999999999999999; Action: [1 2 2 2 0]
Episode: 62; Score: 0.09999999999999998; Action: [1 1 2 2 0]
Episode: 63; Score: -0.3500000000000001; Action: [1 0 2 1 2]
Episode: 64; Score: -0.8; Action: [0 2 0 0 0]
Episode: 65; Score: -0.75; Action: [1 1 0 1 0]
Episode: 66; Score: 8.912315358183768; Action: [0 0 0 0 0]
Episode: 67; Score: 9.391728810886608; Action: [0 0 0 0 0]
Episode: 68; Score: 0.3; Action: [0 1 1 0 0]
Episode: 69; Score: 0.09999999999999998; Action: [2 2 2 2 0]
Episode: 70; Score: 1.0; Action: [2 2 1 2 2]
Episode: 71; Score: 0.3; Action: [2 0 0 2 0]
Episode: 72; Score: 23.70049329266185; Action: [2 1 1 2 2]
Episode: 73; Score: 1.0; Action: [1 1 1 2 2]
Episode: 74; Score: 0.3; Action: [2 2 0 2 0]
Episode: 75; Score: -0.4; Action: [1 2 0 1 1]
Episode: 76; Score: -0.10000000000000009; Action: [2 0 0 2 1]
Episode: 77; Score: -0.8; Action: [1 2 2 1 1]
Episode: 78; Score: 24.01323836848856; Action: [2 1 1 2 2]
Episode: 79; Score: 0.04999999999999999; Action: [0 1 0 0 1]
Episode: 80; Score: -0.4; Action: [1 0 2 1 0]
Episode: 81; Score: -0.10000000000000009; Action: [2 2 1 1 1]
Episode: 82; Score: -0.55; Action: [1 2 1 1 0]
Episode: 83; Score: -0.75; Action: [0 0 1 0 1]
Episode: 84; Score: 22.732885815168032; Action: [2 1 1 2 2]
Episode: 85; Score: 23.040329662470743; Action: [2 1 1 2 2]
Episode: 86; Score: 0.55; Action: [2 2 2 2 2]
Episode: 87; Score: 8.591860735791204; Action: [0 0 0 0 0]
Episode: 88; Score: 0.3; Action: [1 1 2 1 2]
Episode: 89; Score: -0.4; Action: [1 0 2 1 0]
Episode: 90; Score: 9.617302604391172; Action: [0 0 0 0 0]
Episode: 91; Score: 0.3; Action: [0 0 2 2 2]
Episode: 92; Score: -0.15000000000000002; Action: [0 1 0 0 0]
Episode: 93; Score: 0.1499999999999999; Action: [2 2 1 2 0]
Episode: 94; Score: -0.55; Action: [1 2 0 2 1]
Episode: 95; Score: -0.75; Action: [0 2 0 0 2]
Episode: 96; Score: 38.44674211423681; Action: [1 1 1 1 1]
Episode: 97; Score: 0.3; Action: [1 1 2 2 1]
Episode: 98; Score: -0.15000000000000002; Action: [1 0 0 0 2]
Episode: 99; Score: -0.6000000000000001; Action: [0 2 0 0 1]
Episode: 100; Score: -0.30000000000000004; Action: [1 1 0 2 0]
Episode: 101; Score: -1.0; Action: [0 0 2 0 0]
Episode: 102; Score: 10.90863141095322; Action: [0 0 0 0 0]
Episode: 103; Score: 0.04999999999999999; Action: [0 2 2 2 0]
Episode: 104; Score: -0.15000000000000002; Action: [0 0 2 2 1]
Episode: 105; Score: -0.10000000000000009; Action: [1 1 1 1 0]
Episode: 106; Score: -0.30000000000000004; Action: [0 1 0 2 0]
Episode: 107; Score: 8.598971010436271; Action: [0 0 0 0 0]
Episode: 108; Score: 23.73817527431227; Action: [2 1 1 2 2]
Episode: 109; Score: 0.3; Action: [0 1 1 1 1]
Episode: 110; Score: -0.4; Action: [0 0 0 1 1]
Episode: 111; Score: -0.10000000000000009; Action: [2 2 1 0 0]
Episode: 112; Score: -0.55; Action: [0 0 2 1 2]
Episode: 113; Score: -1.0; Action: [1 0 0 0 1]
Episode: 114; Score: 20.59017141548487; Action: [2 1 2 2 2]
Episode: 115; Score: 0.04999999999999999; Action: [0 2 1 1 0]
Episode: 116; Score: 0.09999999999999998; Action: [1 1 0 2 1]
Episode: 117; Score: 0.1499999999999999; Action: [2 1 2 1 2]
Episode: 118; Score: -0.30000000000000004; Action: [2 2 1 0 0]
Episode: 119; Score: -0.25; Action: [1 1 2 2 2]
Episode: 120; Score: 8.802633071027174; Action: [0 0 0 0 0]
Episode: 121; Score: 0.04999999999999999; Action: [0 1 2 1 1]
Episode: 122; Score: -0.15000000000000002; Action: [0 2 1 0 0]
Episode: 123; Score: -0.3500000000000001; Action: [1 2 0 1 2]
Episode: 124; Score: -0.30000000000000004; Action: [1 1 2 1 2]
Episode: 125; Score: -0.75; Action: [0 0 2 2 1]
Episode: 126; Score: 8.673876521793238; Action: [0 0 0 0 0]
Episode: 127; Score: 0.04999999999999999; Action: [0 2 0 2 1]
Episode: 128; Score: -0.15000000000000002; Action: [1 2 2 2 1]
Episode: 129; Score: -0.3500000000000001; Action: [0 1 2 1 0]
Episode: 130; Score: -0.55; Action: [1 2 1 1 0]
Episode: 131; Score: -0.5; Action: [1 2 1 2 1]
Episode: 132; Score: 34.02303473502457; Action: [1 1 1 1 1]
Episode: 133; Score: 9.941949538910578; Action: [0 0 0 0 0]
Episode: 134; Score: 0.04999999999999999; Action: [2 0 2 1 0]
Episode: 135; Score: -0.4; Action: [1 2 0 1 1]
Episode: 136; Score: -0.8; Action: [1 2 0 1 1]
Episode: 137; Score: -0.30000000000000004; Action: [2 0 1 0 0]
Episode: 138; Score: 10.018786952253407; Action: [0 0 0 0 0]
Episode: 139; Score: 0.3; Action: [0 0 1 1 2]
Episode: 140; Score: -0.4; Action: [1 2 0 1 0]
Episode: 141; Score: -0.10000000000000009; Action: [2 2 0 2 1]
Episode: 142; Score: -0.8; Action: [0 2 2 0 1]
Episode: 143; Score: -0.25; Action: [2 0 1 1 2]
Episode: 144; Score: 36.9751900971461; Action: [1 1 1 1 1]
Episode: 145; Score: 0.3; Action: [2 0 0 2 0]
Episode: 146; Score: 0.09999999999999998; Action: [2 1 2 1 0]
Episode: 147; Score: 0.1499999999999999; Action: [2 2 1 0 2]
Episode: 148; Score: -0.30000000000000004; Action: [2 2 1 0 1]
Episode: 149; Score: -1.0; Action: [0 0 0 1 1]
Episode: 150; Score: 22.89; Action: [2 1 1 2 2]
Episode: 151; Score: -0.2; Action: [0 2 2 0 1]
Episode: 152; Score: -0.4; Action: [1 0 2 1 0]
Episode: 153; Score: -0.3500000000000001; Action: [1 0 1 1 1]
Episode: 154; Score: -0.55; Action: [1 1 2 1 0]
Episode: 155; Score: -0.25; Action: [0 1 1 2 1]
Episode: 156; Score: 22.532900769199106; Action: [2 1 1 2 2]
Episode: 157; Score: -0.2; Action: [0 0 2 0 1]
Episode: 158; Score: -0.4; Action: [1 2 0 0 0]
Episode: 159; Score: -0.6000000000000001; Action: [0 2 2 0 0]
Episode: 160; Score: -0.8; Action: [0 2 2 1 0]
Episode: 161; Score: 1.0; Action: [2 0 1 2 2]
Episode: 162; Score: 38.972170109944386; Action: [1 1 1 1 1]
Episode: 163; Score: 1.0; Action: [0 1 1 2 2]
Episode: 164; Score: 0.55; Action: [2 1 2 2 1]
Episode: 165; Score: -0.4; Action: [0 0 2 0 0]
Episode: 166; Score: -0.3500000000000001; Action: [1 0 2 0 2]
Episode: 167; Score: -0.050000000000000044; Action: [2 1 0 2 0]
Episode: 168; Score: 8.920344375769647; Action: [0 0 0 0 0]
Episode: 169; Score: 0.55; Action: [0 1 2 2 2]
Episode: 170; Score: -0.4; Action: [1 0 0 1 1]
Episode: 171; Score: 0.1499999999999999; Action: [1 0 1 2 2]
Episode: 172; Score: -0.30000000000000004; Action: [1 2 1 1 2]
Episode: 173; Score: -0.75; Action: [0 2 2 2 1]
Episode: 174; Score: 9.467959417345082; Action: [0 0 0 0 0]
Episode: 175; Score: 8.684614500552572; Action: [0 0 0 0 0]
Episode: 176; Score: 0.3; Action: [2 0 2 0 2]
Episode: 177; Score: 0.09999999999999998; Action: [0 1 2 2 1]
Episode: 178; Score: -0.3500000000000001; Action: [2 0 2 0 1]
Episode: 179; Score: -0.30000000000000004; Action: [1 0 0 2 2]
Episode: 180; Score: 9.029631584616954; Action: [0 0 0 0 0]
Episode: 181; Score: 0.55; Action: [2 0 1 2 1]
Episode: 182; Score: 0.09999999999999998; Action: [1 0 1 1 2]
Episode: 183; Score: 0.1499999999999999; Action: [1 1 2 2 2]
Episode: 184; Score: -0.30000000000000004; Action: [0 2 1 2 0]
Episode: 185; Score: -0.25; Action: [2 1 1 1 0]
Episode: 186; Score: 24.691288140987396; Action: [2 1 1 2 2]
Episode: 187; Score: 0.55; Action: [2 2 1 0 2]
Episode: 188; Score: -0.15000000000000002; Action: [1 1 0 0 0]
Episode: 189; Score: 1.0; Action: [2 1 1 0 2]
Episode: 190; Score: 0.04999999999999999; Action: [2 2 0 1 0]
Episode: 191; Score: -0.15000000000000002; Action: [2 0 2 1 1]
Episode: 192; Score: 25.016754988828538; Action: [2 1 1 2 2]
Episode: 193; Score: -0.2; Action: [1 0 0 0 1]
