Episode: 0; Score: 5.867715448497098; Action: [2 1 2 2 2]
Episode: 1; Score: 0.3; Action: [2 1 0 1 1]
Episode: 2; Score: 0.09999999999999998; Action: [1 2 1 1 2]
Episode: 3; Score: 0.1499999999999999; Action: [2 2 1 1 2]
Episode: 4; Score: -0.8; Action: [1 0 2 1 0]
Episode: 5; Score: -0.25; Action: [0 1 1 1 2]
Episode: 6; Score: 6.739960474462675; Action: [2 1 2 2 2]
Episode: 7; Score: 0.3; Action: [0 1 0 0 2]
Episode: 8; Score: -0.15000000000000002; Action: [0 1 0 0 0]
Episode: 9; Score: 0.1499999999999999; Action: [1 1 0 2 2]
Episode: 10; Score: -0.050000000000000044; Action: [1 1 1 0 2]
Episode: 11; Score: -1.0; Action: [0 0 0 1 1]
Episode: 12; Score: 11.681406121277536; Action: [1 1 1 1 1]
Episode: 13; Score: 0.04999999999999999; Action: [1 0 2 0 2]
Episode: 14; Score: 0.09999999999999998; Action: [2 2 2 0 2]
Episode: 15; Score: -0.3500000000000001; Action: [1 1 2 0 1]
Episode: 16; Score: -0.30000000000000004; Action: [0 0 1 0 2]
Episode: 17; Score: -0.75; Action: [1 1 2 1 1]
Episode: 18; Score: 12.57076425997122; Action: [1 1 1 1 1]
Episode: 19; Score: 0.3; Action: [2 0 0 2 1]
Episode: 20; Score: -0.15000000000000002; Action: [0 0 1 0 0]
Episode: 21; Score: -0.10000000000000009; Action: [1 2 1 1 2]
Episode: 22; Score: -0.30000000000000004; Action: [1 2 0 2 2]
Episode: 23; Score: -0.5; Action: [1 1 0 2 0]
Episode: 24; Score: 12.894886171278417; Action: [1 1 1 1 1]
Episode: 25; Score: 0.04999999999999999; Action: [1 1 2 1 1]
Episode: 26; Score: -0.15000000000000002; Action: [2 2 2 1 1]
Episode: 27; Score: -0.10000000000000009; Action: [1 0 2 2 2]
Episode: 28; Score: -0.55; Action: [2 2 0 0 1]
Episode: 29; Score: -0.25; Action: [1 1 1 2 0]
Episode: 30; Score: 6.521215867442848; Action: [2 1 1 2 2]
Episode: 31; Score: -0.2; Action: [1 2 2 1 1]
Episode: 32; Score: -0.4; Action: [0 0 0 0 1]
Episode: 33; Score: -0.6000000000000001; Action: [1 2 2 0 0]
Episode: 34; Score: -0.55; Action: [2 0 0 0 1]
Episode: 35; Score: -0.75; Action: [0 2 0 2 0]
Episode: 36; Score: 6.6200386101825055; Action: [2 1 2 2 2]
Episode: 37; Score: 0.3; Action: [0 1 2 2 0]
Episode: 38; Score: 0.09999999999999998; Action: [1 2 0 2 2]
Episode: 39; Score: 0.1499999999999999; Action: [1 1 1 2 1]
Episode: 40; Score: -0.30000000000000004; Action: [2 1 0 1 0]
Episode: 41; Score: 1.0; Action: [2 0 1 2 2]
Episode: 42; Score: 6.99042621430963; Action: [2 1 2 2 2]
Episode: 43; Score: 0.3; Action: [2 1 0 0 0]
Episode: 44; Score: 0.09999999999999998; Action: [2 1 2 0 1]
Episode: 45; Score: -0.3500000000000001; Action: [0 2 0 2 0]
Episode: 46; Score: -0.8; Action: [1 2 0 0 0]
Episode: 47; Score: -0.25; Action: [2 2 1 0 2]
Episode: 48; Score: 6.914514957295308; Action: [2 1 1 2 2]
Episode: 49; Score: 0.04999999999999999; Action: [2 2 0 0 0]
