Episode: 0; Score: 6.612334015993817; Action: [2 1 1 2 2]
Episode: 1; Score: 0.04999999999999999; Action: [0 1 0 0 0]
Episode: 2; Score: -0.4; Action: [1 0 2 1 0]
Episode: 3; Score: -0.3500000000000001; Action: [1 1 0 1 0]
Episode: 4; Score: -0.55; Action: [0 2 2 2 0]
Episode: 5; Score: -0.75; Action: [1 0 1 1 1]
Episode: 6; Score: 11.33437113868667; Action: [1 1 1 1 1]
Episode: 7; Score: 0.3; Action: [2 2 2 1 2]
Episode: 8; Score: 0.09999999999999998; Action: [1 1 0 1 2]
Episode: 9; Score: -0.6000000000000001; Action: [1 2 0 0 1]
Episode: 10; Score: -0.30000000000000004; Action: [0 0 2 2 2]
Episode: 11; Score: -0.25; Action: [0 1 1 2 0]
Episode: 12; Score: 12.916109016830156; Action: [1 1 1 1 1]
Episode: 13; Score: 0.55; Action: [0 1 1 0 2]
Episode: 14; Score: 0.09999999999999998; Action: [0 0 1 1 2]
Episode: 15; Score: -0.3500000000000001; Action: [0 2 2 1 2]
Episode: 16; Score: 1.0; Action: [2 2 1 2 2]
Episode: 17; Score: 0.3; Action: [1 2 2 2 2]
Episode: 18; Score: 11.479572180278762; Action: [1 1 1 1 1]
Episode: 19; Score: 0.3; Action: [0 1 1 0 0]
Episode: 20; Score: 1.0; Action: [2 1 1 1 2]
Episode: 21; Score: 0.04999999999999999; Action: [0 2 1 1 1]
Episode: 22; Score: -0.15000000000000002; Action: [1 1 2 0 1]
Episode: 23; Score: -0.10000000000000009; Action: [1 1 2 1 2]
Episode: 24; Score: 2.987545850971338; Action: [0 0 0 0 0]
Episode: 25; Score: 0.04999999999999999; Action: [0 2 2 2 0]
Episode: 26; Score: 0.35; Action: [0 1 1 2 0]
Episode: 27; Score: -0.3500000000000001; Action: [1 0 0 0 2]
Episode: 28; Score: -0.30000000000000004; Action: [0 0 0 2 2]
Episode: 29; Score: -0.75; Action: [1 0 0 2 0]
Episode: 30; Score: 6.806542474206413; Action: [2 1 1 2 2]
Episode: 31; Score: 0.04999999999999999; Action: [1 1 0 1 1]
Episode: 32; Score: 0.35; Action: [2 1 1 0 1]
Episode: 33; Score: 0.1499999999999999; Action: [2 1 1 1 1]
Episode: 34; Score: -0.55; Action: [2 2 2 0 1]
Episode: 35; Score: -0.5; Action: [0 0 2 2 2]
Episode: 36; Score: 12.483159788663656; Action: [1 1 1 1 1]
Episode: 37; Score: 0.04999999999999999; Action: [1 0 1 0 1]
Episode: 38; Score: -0.4; Action: [1 0 0 1 0]
Episode: 39; Score: -0.10000000000000009; Action: [0 0 2 2 2]
Episode: 40; Score: -0.30000000000000004; Action: [2 2 0 0 2]
Episode: 41; Score: -0.75; Action: [1 0 1 1 0]
Episode: 42; Score: 12.479976415061541; Action: [1 1 1 1 1]
Episode: 43; Score: 0.3; Action: [0 1 1 0 0]
Episode: 44; Score: -0.15000000000000002; Action: [0 2 2 1 2]
Episode: 45; Score: -0.6000000000000001; Action: [1 2 0 1 1]
Episode: 46; Score: -0.30000000000000004; Action: [0 2 2 2 2]
Episode: 47; Score: -0.75; Action: [0 0 0 2 1]
Episode: 48; Score: 6.555477778525627; Action: [2 1 1 2 2]
Episode: 49; Score: 0.04999999999999999; Action: [1 0 0 1 2]
Episode: 50; Score: -0.4; Action: [0 2 2 1 1]
Episode: 51; Score: -0.3500000000000001; Action: [0 0 1 1 1]
Episode: 52; Score: -0.55; Action: [2 2 0 0 1]
Episode: 53; Score: -0.5; Action: [0 1 1 1 0]
Episode: 54; Score: 6.535401249857688; Action: [2 1 2 2 2]
Episode: 55; Score: 0.04999999999999999; Action: [2 0 0 1 1]
Episode: 56; Score: -0.15000000000000002; Action: [0 2 2 1 2]
Episode: 57; Score: -0.10000000000000009; Action: [2 2 2 1 2]
Episode: 58; Score: -0.30000000000000004; Action: [2 0 1 0 1]
Episode: 59; Score: -0.75; Action: [2 0 2 1 0]
Episode: 60; Score: 2.6911754352942796; Action: [0 0 0 0 0]
Episode: 61; Score: 0.55; Action: [1 1 1 2 1]
Episode: 62; Score: -0.15000000000000002; Action: [0 0 1 0 0]
Episode: 63; Score: -0.3500000000000001; Action: [0 2 0 2 1]
Episode: 64; Score: -0.050000000000000044; Action: [2 1 0 0 2]
Episode: 65; Score: -0.5; Action: [2 1 2 1 1]
Episode: 66; Score: 2.634861072704427; Action: [0 0 0 0 0]
Episode: 67; Score: 0.3; Action: [2 1 2 1 1]
Episode: 68; Score: -0.4; Action: [0 0 2 0 1]
Episode: 69; Score: -0.3500000000000001; Action: [0 0 2 1 2]
Episode: 70; Score: -0.8; Action: [0 0 2 0 1]
Episode: 71; Score: -0.5; Action: [1 2 1 2 1]
Episode: 72; Score: 11.47475752115077; Action: [1 1 1 1 1]
Episode: 73; Score: -0.2; Action: [1 2 0 0 0]
Episode: 74; Score: 0.09999999999999998; Action: [1 1 2 1 2]
Episode: 75; Score: 0.1499999999999999; Action: [2 0 1 0 2]
Episode: 76; Score: 6.441269424451735; Action: [2 1 1 2 2]
Episode: 77; Score: 0.3; Action: [0 1 1 1 1]
Episode: 78; Score: 6.501698385331391; Action: [2 1 2 2 2]
Episode: 79; Score: 0.3; Action: [2 0 1 1 1]
Episode: 80; Score: -0.15000000000000002; Action: [1 1 0 1 1]
Episode: 81; Score: 0.1499999999999999; Action: [2 2 2 2 2]
Episode: 82; Score: -0.30000000000000004; Action: [1 0 1 0 2]
Episode: 83; Score: -0.75; Action: [0 0 2 1 2]
Episode: 84; Score: 6.9177072359737615; Action: [2 1 1 2 2]
Episode: 85; Score: 0.3; Action: [2 2 2 1 2]
Episode: 86; Score: -0.15000000000000002; Action: [0 1 2 0 0]
Episode: 87; Score: -0.10000000000000009; Action: [0 2 1 1 2]
Episode: 88; Score: -0.30000000000000004; Action: [1 1 1 0 1]
Episode: 89; Score: -0.75; Action: [0 0 2 1 2]
Episode: 90; Score: 6.942541866268323; Action: [2 1 1 2 2]
Episode: 91; Score: 0.3; Action: [2 2 0 0 2]
Episode: 92; Score: -0.15000000000000002; Action: [0 0 0 0 2]
Episode: 93; Score: 0.1499999999999999; Action: [2 0 0 2 2]
Episode: 94; Score: -0.8; Action: [1 0 2 1 1]
Episode: 95; Score: -1.0; Action: [1 0 0 1 0]
Episode: 96; Score: 7.110094557154879; Action: [2 1 1 2 2]
Episode: 97; Score: 0.55; Action: [2 2 1 2 1]
Episode: 98; Score: -0.15000000000000002; Action: [1 2 2 0 2]
Episode: 99; Score: -0.10000000000000009; Action: [1 1 1 0 1]
Episode: 100; Score: -0.050000000000000044; Action: [2 1 2 0 2]
Episode: 101; Score: -0.5; Action: [2 1 0 0 1]
Episode: 102; Score: 2.6617130141343455; Action: [0 0 0 0 0]
Episode: 103; Score: 0.3; Action: [1 0 1 2 1]
Episode: 104; Score: 0.09999999999999998; Action: [2 1 2 0 0]
Episode: 105; Score: -0.3500000000000001; Action: [0 0 2 2 0]
Episode: 106; Score: -0.55; Action: [1 2 0 1 2]
Episode: 107; Score: -0.75; Action: [0 0 2 2 0]
Episode: 108; Score: 12.27097334054463; Action: [1 1 1 1 1]
Episode: 109; Score: 0.3; Action: [0 0 2 2 2]
Episode: 110; Score: 0.35; Action: [2 0 1 0 2]
Episode: 111; Score: -0.10000000000000009; Action: [1 0 1 0 2]
Episode: 112; Score: -0.55; Action: [0 1 2 0 0]
Episode: 113; Score: 1.0; Action: [2 0 1 2 2]
Episode: 114; Score: 6.709359949828306; Action: [2 1 1 2 2]
Episode: 115; Score: 0.55; Action: [2 2 0 2 2]
Episode: 116; Score: -0.15000000000000002; Action: [1 1 2 0 0]
Episode: 117; Score: -0.3500000000000001; Action: [0 1 0 0 0]
Episode: 118; Score: -0.050000000000000044; Action: [1 1 0 2 2]
Episode: 119; Score: -0.5; Action: [1 2 2 2 2]
Episode: 120; Score: 12.459787231366992; Action: [1 1 1 1 1]
Episode: 121; Score: 0.04999999999999999; Action: [0 1 0 1 0]
Episode: 122; Score: -0.4; Action: [1 0 2 1 0]
Episode: 123; Score: -0.3500000000000001; Action: [1 2 0 1 2]
Episode: 124; Score: -0.30000000000000004; Action: [0 1 2 0 2]
Episode: 125; Score: -0.5; Action: [1 2 1 2 0]
Episode: 126; Score: 2.8271400913371543; Action: [0 0 0 0 0]
Episode: 127; Score: -0.2; Action: [1 0 0 0 0]
Episode: 128; Score: -0.4; Action: [1 2 0 0 1]
Episode: 129; Score: -0.3500000000000001; Action: [1 2 1 0 0]
Episode: 130; Score: -0.30000000000000004; Action: [0 0 1 0 2]
Episode: 131; Score: -0.75; Action: [0 2 0 0 2]
Episode: 132; Score: 11.728130433681875; Action: [1 1 1 1 1]
Episode: 133; Score: 0.55; Action: [0 1 2 2 2]
Episode: 134; Score: -0.4; Action: [0 2 2 1 0]
Episode: 135; Score: -0.10000000000000009; Action: [2 2 0 2 0]
Episode: 136; Score: 1.0; Action: [2 1 1 2 1]
Episode: 137; Score: 0.3; Action: [0 0 1 2 1]
Episode: 138; Score: 2.719365914948758; Action: [0 0 0 0 0]
Episode: 139; Score: 0.3; Action: [0 1 1 1 1]
Episode: 140; Score: -0.15000000000000002; Action: [0 0 2 0 2]
Episode: 141; Score: -0.10000000000000009; Action: [2 1 0 1 0]
Episode: 142; Score: -0.30000000000000004; Action: [0 1 2 2 1]
Episode: 143; Score: -0.5; Action: [2 2 0 2 1]
Episode: 144; Score: 6.904287590145843; Action: [2 1 2 2 2]
Episode: 145; Score: 0.04999999999999999; Action: [0 2 0 2 1]
Episode: 146; Score: -0.15000000000000002; Action: [1 2 1 1 0]
Episode: 147; Score: -0.10000000000000009; Action: [2 2 1 1 1]
Episode: 148; Score: -0.8; Action: [1 0 2 1 0]
Episode: 149; Score: -0.75; Action: [0 2 1 0 1]
Episode: 150; Score: 2.456645657008038; Action: [0 0 0 0 0]
Episode: 151; Score: 0.3; Action: [1 0 1 2 0]
Episode: 152; Score: -0.15000000000000002; Action: [0 1 2 0 1]
Episode: 153; Score: -0.3500000000000001; Action: [2 2 2 0 0]
Episode: 154; Score: -0.55; Action: [1 1 0 0 0]
Episode: 155; Score: -0.5; Action: [2 1 2 0 0]
Episode: 156; Score: 6.477005942279325; Action: [2 1 1 2 2]
Episode: 157; Score: 0.3; Action: [0 1 0 2 0]
Episode: 158; Score: -0.15000000000000002; Action: [2 0 0 1 1]
Episode: 159; Score: -0.10000000000000009; Action: [1 2 2 2 2]
Episode: 160; Score: -0.050000000000000044; Action: [2 1 1 0 1]
Episode: 161; Score: -0.75; Action: [2 0 0 0 1]
Episode: 162; Score: 12.688095303344687; Action: [1 1 1 1 1]
Episode: 163; Score: 0.04999999999999999; Action: [1 1 0 0 0]
Episode: 164; Score: 0.09999999999999998; Action: [0 2 1 1 2]
Episode: 165; Score: -0.6000000000000001; Action: [1 0 0 1 1]
