Episode: 0; Score: 3.095539267523969; Action: [2 1 2 2 2]
Episode: 1; Score: 0.04999999999999999; Action: [0 2 2 1 2]
Episode: 2; Score: 1.0; Action: [1 1 1 2 2]
Episode: 3; Score: -0.2; Action: [1 2 0 0 0]
Episode: 4; Score: 5.1762619539326415; Action: [1 1 1 1 1]
Episode: 5; Score: 0.3; Action: [2 2 0 2 0]
Episode: 6; Score: 3.18983395342647; Action: [2 1 2 2 2]
Episode: 7; Score: 1.0; Action: [2 1 1 1 2]
Episode: 8; Score: 1.4687652041571158; Action: [0 0 0 0 0]
Episode: 9; Score: 0.04999999999999999; Action: [0 1 2 0 1]
Episode: 10; Score: 0.09999999999999998; Action: [1 1 2 2 1]
Episode: 11; Score: 0.1499999999999999; Action: [1 1 1 0 2]
Episode: 12; Score: 3.40781220611287; Action: [2 1 2 2 2]
Episode: 13; Score: 0.55; Action: [0 1 1 1 2]
Episode: 14; Score: -0.4; Action: [1 0 2 0 0]
Episode: 15; Score: -0.3500000000000001; Action: [0 2 2 2 1]
Episode: 16; Score: 5.014843279508904; Action: [1 1 1 1 1]
Episode: 17; Score: 0.04999999999999999; Action: [0 1 0 0 1]
Episode: 18; Score: -0.4; Action: [0 0 0 1 0]
Episode: 19; Score: -0.3500000000000001; Action: [0 1 0 1 0]
Episode: 20; Score: 1.266425657781011; Action: [0 0 0 0 0]
Episode: 21; Score: 0.04999999999999999; Action: [1 0 2 2 0]
Episode: 22; Score: -0.15000000000000002; Action: [1 0 1 1 1]
Episode: 23; Score: -0.6000000000000001; Action: [0 0 0 1 1]
Episode: 24; Score: 5.489091572315063; Action: [1 1 1 1 1]
Episode: 25; Score: 0.04999999999999999; Action: [1 2 1 0 1]
Episode: 26; Score: -0.15000000000000002; Action: [0 2 0 2 0]
Episode: 27; Score: -0.10000000000000009; Action: [1 1 2 0 2]
Episode: 28; Score: 5.547618919782676; Action: [1 1 1 1 1]
Episode: 29; Score: -0.2; Action: [1 2 0 0 0]
Episode: 30; Score: 0.09999999999999998; Action: [2 2 1 0 0]
Episode: 31; Score: 0.1499999999999999; Action: [2 1 2 2 1]
Episode: 32; Score: 1.3589149930609932; Action: [0 0 0 0 0]
Episode: 33; Score: 0.04999999999999999; Action: [2 2 0 0 1]
Episode: 34; Score: 0.09999999999999998; Action: [1 0 1 0 2]
Episode: 35; Score: -0.10000000000000009; Action: [1 0 1 2 0]
Episode: 36; Score: 5.177848328665167; Action: [1 1 1 1 1]
Episode: 37; Score: 0.3; Action: [2 2 1 0 1]
Episode: 38; Score: 0.09999999999999998; Action: [1 1 1 0 1]
Episode: 39; Score: 1.0; Action: [2 1 0 2 2]
Episode: 40; Score: 3.266623497726011; Action: [2 1 1 2 2]
Episode: 41; Score: 0.3; Action: [2 0 1 1 1]
Episode: 42; Score: -0.15000000000000002; Action: [0 1 2 0 1]
Episode: 43; Score: -0.6000000000000001; Action: [0 2 0 0 0]
Episode: 44; Score: 1.4924589557826295; Action: [0 0 0 0 0]
Episode: 45; Score: -0.2; Action: [0 0 0 1 0]
Episode: 46; Score: -0.4; Action: [1 0 0 1 1]
Episode: 47; Score: 0.1499999999999999; Action: [2 1 1 0 0]
Episode: 48; Score: 1.242501778094783; Action: [0 0 0 0 0]
Episode: 49; Score: 0.04999999999999999; Action: [1 1 0 1 1]
Episode: 50; Score: 0.35; Action: [2 1 2 0 2]
Episode: 51; Score: -0.6000000000000001; Action: [0 2 2 1 1]
Episode: 52; Score: 1.4457799383613659; Action: [0 0 0 0 0]
Episode: 53; Score: -0.2; Action: [1 0 2 0 0]
Episode: 54; Score: -0.15000000000000002; Action: [2 2 2 1 1]
Episode: 55; Score: -0.3500000000000001; Action: [0 0 0 1 2]
Episode: 56; Score: 3.586071763462659; Action: [2 1 1 2 2]
Episode: 57; Score: 0.3; Action: [0 2 1 1 2]
Episode: 58; Score: -0.15000000000000002; Action: [2 2 0 0 1]
Episode: 59; Score: 0.1499999999999999; Action: [1 1 1 2 0]
Episode: 60; Score: 1.5080616634726487; Action: [0 0 0 0 0]
Episode: 61; Score: 0.3; Action: [1 1 1 0 0]
Episode: 62; Score: 0.09999999999999998; Action: [2 2 1 1 0]
Episode: 63; Score: -0.6000000000000001; Action: [0 2 0 1 0]
Episode: 64; Score: 2.9769878549687827; Action: [2 1 2 2 2]
Episode: 65; Score: 0.04999999999999999; Action: [2 0 0 0 1]
Episode: 66; Score: 0.09999999999999998; Action: [0 0 1 1 2]
Episode: 67; Score: 1.0; Action: [1 1 1 2 2]
Episode: 68; Score: 1.374011070148385; Action: [0 0 0 0 0]
Episode: 69; Score: 0.3; Action: [2 0 2 2 0]
Episode: 70; Score: 0.09999999999999998; Action: [0 1 0 0 2]
