Episode: 0; Score: 0.04999999999999999; Action: [2. 0. 2. 1. 1.]
Episode: 1; Score: -0.4; Action: [0. 2. 2. 0. 1.]
Episode: 2; Score: 0.1499999999999999; Action: [2. 1. 1. 1. 1.]
Episode: 3; Score: -0.30000000000000004; Action: [2. 0. 2. 0. 2.]
Episode: 4; Score: -0.25; Action: [2. 2. 1. 1. 2.]
Episode: 5; Score: -1.2000000000000002; Action: [1. 0. 0. 0. 1.]
Episode: 6; Score: -1.1500000000000001; Action: [1. 1. 0. 0. 1.]
Episode: 7; Score: 1.0; Action: [2. 1. 1. 0. 2.]
Episode: 8; Score: 0.04999999999999999; Action: [0. 2. 2. 2. 0.]
Episode: 9; Score: -0.15000000000000002; Action: [0. 0. 1. 0. 1.]
Episode: 10; Score: -0.3500000000000001; Action: [1. 2. 0. 0. 2.]
Episode: 11; Score: -0.30000000000000004; Action: [1. 1. 0. 1. 2.]
Episode: 12; Score: -1.0; Action: [1. 2. 0. 0. 1.]
Episode: 13; Score: -0.7000000000000002; Action: [1. 2. 1. 1. 2.]
Episode: 14; Score: -0.9000000000000001; Action: [0. 1. 0. 2. 0.]
Episode: 15; Score: -1.1; Action: [0. 0. 1. 2. 0.]
Episode: 16; Score: -1.3; Action: [0. 1. 1. 1. 0.]
Episode: 17; Score: -1.75; Action: [2. 2. 0. 0. 1.]
Episode: 18; Score: -1.9500000000000002; Action: [1. 1. 2. 0. 1.]
Episode: 19; Score: -1.9000000000000004; Action: [2. 1. 0. 0. 1.]
Episode: 20; Score: -2.6; Action: [0. 2. 0. 1. 0.]
Episode: 21; Score: -2.5500000000000003; Action: [2. 0. 0. 0. 1.]
Episode: 22; Score: -3.0; Action: [0. 2. 2. 0. 0.]
Episode: 23; Score: -2.7; Action: [0. 1. 2. 2. 0.]
Episode: 24; Score: -3.1500000000000004; Action: [1. 2. 2. 0. 2.]
Episode: 25; Score: -3.6; Action: [0. 2. 0. 0. 1.]
Episode: 26; Score: -3.0500000000000003; Action: [1. 1. 1. 2. 0.]
Episode: 27; Score: -3.25; Action: [0. 1. 1. 2. 0.]
Episode: 28; Score: -3.45; Action: [1. 1. 0. 2. 2.]
Episode: 29; Score: -4.15; Action: [1. 2. 2. 2. 1.]
Episode: 30; Score: -3.8500000000000005; Action: [1. 1. 2. 2. 2.]
Episode: 31; Score: -4.050000000000001; Action: [1. 1. 1. 2. 1.]
Episode: 32; Score: -4.25; Action: [1. 0. 1. 2. 2.]
Episode: 33; Score: 1.331935253055206; Action: [0. 0. 0. 0. 0.]
Episode: 34; Score: -0.2; Action: [0. 2. 2. 0. 0.]
Episode: 35; Score: 0.09999999999999998; Action: [1. 1. 0. 2. 0.]
Episode: 36; Score: -0.6000000000000001; Action: [0. 0. 2. 0. 1.]
Episode: 37; Score: 1.0; Action: [0. 1. 1. 2. 2.]
Episode: 38; Score: -0.2; Action: [1. 0. 0. 1. 0.]
Episode: 39; Score: -0.15000000000000002; Action: [2. 2. 2. 1. 0.]
Episode: 40; Score: 0.1499999999999999; Action: [2. 1. 0. 1. 2.]
Episode: 41; Score: -0.8; Action: [1. 2. 0. 0. 1.]
Episode: 42; Score: -0.75; Action: [1. 0. 2. 0. 2.]
Episode: 43; Score: -0.7000000000000002; Action: [1. 1. 2. 1. 2.]
Episode: 44; Score: -1.4000000000000001; Action: [1. 0. 0. 0. 1.]
Episode: 45; Score: -1.35; Action: [1. 0. 2. 0. 2.]
Episode: 46; Score: -1.05; Action: [2. 1. 1. 0. 1.]
Episode: 47; Score: -1.5; Action: [1. 2. 1. 2. 1.]
Episode: 48; Score: -1.7000000000000002; Action: [0. 2. 1. 2. 1.]
Episode: 49; Score: -2.4000000000000004; Action: [0. 2. 2. 1. 0.]
Episode: 50; Score: -1.85; Action: [0. 1. 1. 2. 0.]
Episode: 51; Score: -2.5500000000000003; Action: [2. 2. 2. 0. 0.]
Episode: 52; Score: -2.5; Action: [2. 0. 1. 0. 0.]
Episode: 53; Score: -2.95; Action: [0. 2. 2. 1. 2.]
Episode: 54; Score: -3.1500000000000004; Action: [1. 2. 1. 1. 0.]
Episode: 55; Score: -3.6; Action: [1. 0. 0. 1. 1.]
Episode: 56; Score: -3.8000000000000003; Action: [0. 2. 2. 0. 0.]
Episode: 57; Score: -3.75; Action: [2. 0. 0. 1. 0.]
Episode: 58; Score: -4.2; Action: [0. 0. 2. 0. 0.]
Episode: 59; Score: -3.9000000000000004; Action: [1. 1. 2. 1. 2.]
Episode: 60; Score: -4.3500000000000005; Action: [1. 0. 0. 2. 1.]
Episode: 61; Score: -4.300000000000001; Action: [2. 2. 0. 1. 2.]
