Episode: 0; Score: 2.929309844497411; Action: [2. 1. 2. 2. 2.]
Episode: 1; Score: 1.0; Action: [2. 2. 1. 2. 2.]
Episode: 2; Score: 0.55; Action: [0. 1. 1. 0. 2.]
Episode: 3; Score: -0.15000000000000002; Action: [0. 1. 2. 0. 1.]
Episode: 4; Score: -0.10000000000000009; Action: [1. 0. 1. 1. 2.]
Episode: 5; Score: -0.55; Action: [1. 2. 2. 1. 2.]
Episode: 6; Score: 4.933748455474667; Action: [1. 1. 1. 1. 1.]
Episode: 7; Score: -0.2; Action: [1. 2. 0. 0. 1.]
Episode: 8; Score: -0.15000000000000002; Action: [1. 2. 1. 1. 0.]
Episode: 9; Score: -0.10000000000000009; Action: [0. 2. 1. 2. 1.]
Episode: 10; Score: -0.050000000000000044; Action: [0. 0. 1. 2. 2.]
Episode: 11; Score: -1.0; Action: [1. 2. 2. 0. 1.]
Episode: 12; Score: 5.529917846069509; Action: [1. 1. 1. 1. 1.]
Episode: 13; Score: 0.04999999999999999; Action: [1. 2. 2. 1. 2.]
Episode: 14; Score: 0.35; Action: [2. 2. 1. 0. 2.]
Episode: 15; Score: -0.10000000000000009; Action: [1. 1. 0. 1. 2.]
Episode: 16; Score: -0.30000000000000004; Action: [0. 1. 2. 2. 1.]
Episode: 17; Score: -0.75; Action: [1. 1. 0. 1. 0.]
Episode: 18; Score: 5.204022471831307; Action: [1. 1. 1. 1. 1.]
Episode: 19; Score: 0.04999999999999999; Action: [0. 1. 0. 1. 0.]
Episode: 20; Score: -0.15000000000000002; Action: [1. 0. 2. 0. 2.]
Episode: 21; Score: 0.1499999999999999; Action: [2. 1. 2. 1. 2.]
Episode: 22; Score: -0.050000000000000044; Action: [2. 1. 0. 2. 1.]
Episode: 23; Score: -0.5; Action: [0. 2. 0. 2. 2.]
Episode: 24; Score: 5.520318167438846; Action: [1. 1. 1. 1. 1.]
Episode: 25; Score: 0.04999999999999999; Action: [1. 1. 0. 0. 0.]
Episode: 26; Score: -0.15000000000000002; Action: [2. 2. 2. 1. 1.]
Episode: 27; Score: -0.10000000000000009; Action: [2. 0. 0. 0. 2.]
Episode: 28; Score: -0.8; Action: [0. 2. 2. 1. 1.]
Episode: 29; Score: -0.75; Action: [2. 2. 0. 1. 0.]
Episode: 30; Score: 5.2270853722825485; Action: [1. 1. 1. 1. 1.]
Episode: 31; Score: 0.3; Action: [1. 2. 1. 2. 0.]
Episode: 32; Score: 0.09999999999999998; Action: [0. 1. 2. 1. 2.]
Episode: 33; Score: -0.10000000000000009; Action: [0. 1. 0. 0. 2.]
Episode: 34; Score: 1.4304522944491302; Action: [0. 0. 0. 0. 0.]
Episode: 35; Score: -0.2; Action: [0. 2. 2. 0. 0.]
Episode: 36; Score: 3.3427519319207386; Action: [2. 1. 1. 2. 2.]
Episode: 37; Score: 0.55; Action: [1. 1. 2. 2. 2.]
Episode: 38; Score: 0.35; Action: [2. 1. 0. 0. 2.]
Episode: 39; Score: -0.3500000000000001; Action: [1. 2. 1. 0. 1.]
Episode: 40; Score: -0.55; Action: [0. 1. 0. 1. 0.]
Episode: 41; Score: -0.25; Action: [0. 1. 0. 2. 2.]
Episode: 42; Score: 3.2306740227793975; Action: [2. 1. 1. 2. 2.]
Episode: 43; Score: 0.04999999999999999; Action: [2. 2. 0. 0. 0.]
Episode: 44; Score: -0.15000000000000002; Action: [0. 0. 1. 0. 0.]
Episode: 45; Score: -0.3500000000000001; Action: [0. 1. 0. 1. 0.]
Episode: 46; Score: -0.55; Action: [2. 0. 0. 0. 1.]
Episode: 47; Score: -0.5; Action: [2. 0. 0. 1. 2.]
Episode: 48; Score: 5.512742518318131; Action: [1. 1. 1. 1. 1.]
Episode: 49; Score: 0.3; Action: [1. 0. 1. 1. 2.]
Episode: 50; Score: 0.35; Action: [2. 1. 2. 0. 2.]
Episode: 51; Score: -0.3500000000000001; Action: [0. 0. 0. 1. 2.]
Episode: 52; Score: -0.55; Action: [0. 2. 0. 1. 2.]
Episode: 53; Score: -0.75; Action: [0. 2. 1. 0. 1.]
Episode: 54; Score: 1.2343273236525407; Action: [0. 0. 0. 0. 0.]
Episode: 55; Score: 0.3; Action: [1. 1. 1. 0. 1.]
Episode: 56; Score: -0.15000000000000002; Action: [1. 1. 2. 1. 0.]
Episode: 57; Score: 3.414240558702432; Action: [2. 1. 2. 2. 2.]
Episode: 58; Score: 0.55; Action: [2. 1. 1. 0. 1.]
Episode: 59; Score: -0.15000000000000002; Action: [2. 0. 0. 0. 1.]
Episode: 60; Score: 5.2270853722825485; Action: [1. 1. 1. 1. 1.]
Episode: 61; Score: 0.55; Action: [2. 1. 0. 2. 1.]
Episode: 62; Score: -0.15000000000000002; Action: [0. 1. 0. 0. 1.]
Episode: 63; Score: -0.10000000000000009; Action: [0. 1. 0. 0. 2.]
Episode: 64; Score: -0.55; Action: [1. 2. 2. 2. 0.]
Episode: 65; Score: -0.5; Action: [2. 0. 1. 0. 0.]
Episode: 66; Score: 2.9664015271342947; Action: [2. 1. 2. 2. 2.]
Episode: 67; Score: 0.3; Action: [1. 2. 1. 2. 0.]
Episode: 68; Score: -0.15000000000000002; Action: [1. 2. 2. 1. 2.]
Episode: 69; Score: 1.238614181957854; Action: [0. 0. 0. 0. 0.]
Episode: 70; Score: 0.3; Action: [2. 0. 2. 2. 0.]
Episode: 71; Score: 0.09999999999999998; Action: [1. 1. 1. 0. 0.]
Episode: 72; Score: 5.4525816427711025; Action: [1. 1. 1. 1. 1.]
Episode: 73; Score: 0.04999999999999999; Action: [0. 0. 1. 0. 0.]
Episode: 74; Score: -0.15000000000000002; Action: [0. 0. 2. 1. 2.]
Episode: 75; Score: -0.10000000000000009; Action: [0. 1. 2. 0. 2.]
Episode: 76; Score: -0.55; Action: [2. 0. 2. 1. 0.]
Episode: 77; Score: -0.75; Action: [0. 1. 2. 1. 1.]
Episode: 78; Score: 3.4070098275364185; Action: [2. 1. 2. 2. 2.]
Episode: 79; Score: 0.3; Action: [1. 0. 1. 0. 2.]
Episode: 80; Score: 0.09999999999999998; Action: [2. 1. 0. 1. 1.]
Episode: 81; Score: -0.3500000000000001; Action: [0. 2. 2. 0. 2.]
Episode: 82; Score: -0.55; Action: [2. 0. 2. 1. 0.]
Episode: 83; Score: -0.75; Action: [0. 2. 1. 1. 0.]
Episode: 84; Score: 5.380295845040786; Action: [1. 1. 1. 1. 1.]
Episode: 85; Score: 0.3; Action: [2. 1. 2. 0. 1.]
Episode: 86; Score: -0.4; Action: [0. 0. 2. 1. 1.]
Episode: 87; Score: -0.10000000000000009; Action: [1. 2. 0. 2. 2.]
Episode: 88; Score: -0.050000000000000044; Action: [1. 2. 1. 2. 2.]
Episode: 89; Score: -1.0; Action: [1. 2. 0. 1. 1.]
Episode: 90; Score: 1.2584489671560009; Action: [0. 0. 0. 0. 0.]
Episode: 91; Score: 0.3; Action: [2. 2. 0. 1. 2.]
Episode: 92; Score: 1.0; Action: [2. 1. 1. 2. 1.]
Episode: 93; Score: -0.2; Action: [0. 0. 2. 1. 0.]
Episode: 94; Score: -0.15000000000000002; Action: [0. 1. 0. 1. 1.]
Episode: 95; Score: 0.1499999999999999; Action: [1. 0. 1. 2. 2.]
Episode: 96; Score: 3.274349487201704; Action: [2. 1. 1. 2. 2.]
Episode: 97; Score: 1.0; Action: [0. 1. 1. 2. 2.]
Episode: 98; Score: 0.3; Action: [0. 1. 2. 0. 2.]
Episode: 99; Score: 0.09999999999999998; Action: [1. 0. 0. 2. 2.]
Episode: 100; Score: -0.10000000000000009; Action: [2. 0. 1. 1. 1.]
Episode: 101; Score: -0.55; Action: [0. 1. 0. 0. 1.]
Episode: 102; Score: 3.4867432614215934; Action: [2. 1. 1. 2. 2.]
Episode: 103; Score: 0.04999999999999999; Action: [2. 2. 0. 1. 1.]
Episode: 104; Score: 0.09999999999999998; Action: [2. 0. 0. 0. 2.]
Episode: 105; Score: -0.3500000000000001; Action: [0. 2. 1. 1. 1.]
Episode: 106; Score: -0.55; Action: [2. 2. 2. 0. 1.]
Episode: 107; Score: -0.5; Action: [1. 1. 2. 2. 0.]
Episode: 108; Score: 3.417143128116213; Action: [2. 1. 1. 2. 2.]
Episode: 109; Score: 0.04999999999999999; Action: [1. 1. 0. 1. 0.]
Episode: 110; Score: 1.0; Action: [0. 1. 1. 2. 2.]
Episode: 111; Score: 0.04999999999999999; Action: [1. 0. 1. 1. 0.]
Episode: 112; Score: 0.35; Action: [2. 0. 1. 2. 1.]
Episode: 113; Score: -0.3500000000000001; Action: [1. 1. 0. 1. 0.]
Episode: 114; Score: 3.2461231779875406; Action: [2. 1. 1. 2. 2.]
Episode: 115; Score: 0.3; Action: [2. 2. 0. 2. 0.]
Episode: 116; Score: -0.15000000000000002; Action: [0. 1. 0. 1. 0.]
Episode: 117; Score: -0.10000000000000009; Action: [0. 2. 0. 2. 2.]
Episode: 118; Score: -0.55; Action: [1. 0. 0. 0. 2.]
Episode: 119; Score: -0.75; Action: [0. 0. 0. 2. 1.]
Episode: 120; Score: 5.500011428552769; Action: [1. 1. 1. 1. 1.]
Episode: 121; Score: 0.04999999999999999; Action: [0. 0. 2. 1. 2.]
Episode: 122; Score: 0.09999999999999998; Action: [2. 1. 2. 1. 0.]
Episode: 123; Score: -0.3500000000000001; Action: [2. 0. 0. 0. 1.]
Episode: 124; Score: -0.050000000000000044; Action: [1. 1. 1. 2. 0.]
Episode: 125; Score: -1.0; Action: [1. 0. 2. 0. 1.]
Episode: 126; Score: 5.282389373611851; Action: [1. 1. 1. 1. 1.]
Episode: 127; Score: 0.3; Action: [2. 0. 2. 2. 0.]
Episode: 128; Score: -0.15000000000000002; Action: [1. 1. 2. 1. 0.]
Episode: 129; Score: -0.3500000000000001; Action: [0. 0. 0. 0. 2.]
Episode: 130; Score: -0.55; Action: [1. 0. 2. 2. 0.]
Episode: 131; Score: -0.5; Action: [2. 0. 1. 0. 0.]
Episode: 132; Score: 1.245987457285439; Action: [0. 0. 0. 0. 0.]
Episode: 133; Score: -0.2; Action: [1. 0. 0. 1. 1.]
Episode: 134; Score: 0.09999999999999998; Action: [2. 1. 0. 0. 0.]
Episode: 135; Score: -0.3500000000000001; Action: [1. 0. 2. 2. 1.]
Episode: 136; Score: -0.55; Action: [1. 2. 2. 2. 1.]
Episode: 137; Score: -0.75; Action: [0. 1. 2. 0. 1.]
Episode: 138; Score: 3.0588734628672385; Action: [2. 1. 2. 2. 2.]
Episode: 139; Score: 0.3; Action: [2. 2. 1. 1. 1.]
Episode: 140; Score: -0.4; Action: [0. 2. 2. 0. 1.]
Episode: 141; Score: -0.3500000000000001; Action: [0. 1. 2. 1. 0.]
Episode: 142; Score: -0.55; Action: [2. 2. 0. 1. 1.]
Episode: 143; Score: -0.75; Action: [0. 0. 0. 0. 2.]
Episode: 144; Score: 2.9451734399460943; Action: [2. 1. 2. 2. 2.]
Episode: 145; Score: 0.04999999999999999; Action: [1. 1. 0. 0. 1.]
Episode: 146; Score: 0.09999999999999998; Action: [2. 2. 2. 2. 1.]
Episode: 147; Score: 0.1499999999999999; Action: [2. 1. 2. 1. 2.]
Episode: 148; Score: -0.30000000000000004; Action: [2. 1. 2. 1. 1.]
Episode: 149; Score: -0.5; Action: [2. 2. 0. 2. 0.]
Episode: 150; Score: 3.471404910867362; Action: [2. 1. 1. 2. 2.]
Episode: 151; Score: -0.2; Action: [1. 2. 2. 1. 0.]
Episode: 152; Score: -0.4; Action: [1. 0. 2. 1. 1.]
Episode: 153; Score: -0.10000000000000009; Action: [2. 1. 0. 1. 0.]
Episode: 154; Score: -0.8; Action: [1. 0. 2. 0. 1.]
Episode: 155; Score: -0.5; Action: [2. 2. 1. 0. 1.]
Episode: 156; Score: 1.2284244300623244; Action: [0. 0. 0. 0. 0.]
Episode: 157; Score: -0.2; Action: [0. 2. 0. 1. 0.]
Episode: 158; Score: -0.4; Action: [0. 0. 0. 1. 0.]
Episode: 159; Score: 0.1499999999999999; Action: [2. 1. 1. 1. 0.]
Episode: 160; Score: -0.30000000000000004; Action: [0. 1. 0. 2. 1.]
Episode: 161; Score: -0.75; Action: [0. 1. 0. 1. 0.]
Episode: 162; Score: 4.957458368261504; Action: [1. 1. 1. 1. 1.]
Episode: 163; Score: 0.04999999999999999; Action: [1. 0. 2. 2. 1.]
Episode: 164; Score: -0.15000000000000002; Action: [0. 0. 2. 2. 1.]
Episode: 165; Score: -0.10000000000000009; Action: [1. 1. 0. 1. 2.]
Episode: 166; Score: -0.30000000000000004; Action: [0. 0. 2. 2. 2.]
Episode: 167; Score: -0.5; Action: [2. 1. 0. 0. 1.]
Episode: 168; Score: 4.840478832873077; Action: [1. 1. 1. 1. 1.]
Episode: 169; Score: 0.04999999999999999; Action: [1. 2. 2. 1. 2.]
Episode: 170; Score: 0.09999999999999998; Action: [1. 0. 1. 0. 2.]
Episode: 171; Score: -0.3500000000000001; Action: [0. 0. 1. 0. 0.]
Episode: 172; Score: -0.050000000000000044; Action: [2. 1. 1. 1. 0.]
Episode: 173; Score: -0.5; Action: [2. 0. 2. 1. 2.]
Episode: 174; Score: 1.2779895470700533; Action: [0. 0. 0. 0. 0.]
Episode: 175; Score: 0.04999999999999999; Action: [0. 1. 2. 1. 0.]
Episode: 176; Score: -0.4; Action: [1. 2. 0. 0. 0.]
Episode: 177; Score: 0.1499999999999999; Action: [2. 2. 0. 2. 2.]
Episode: 178; Score: -0.55; Action: [2. 2. 0. 1. 1.]
Episode: 179; Score: -1.0; Action: [0. 2. 0. 0. 0.]
Episode: 180; Score: 3.5112294725147106; Action: [2. 1. 1. 2. 2.]
Episode: 181; Score: 0.3; Action: [1. 0. 1. 0. 2.]
Episode: 182; Score: -0.15000000000000002; Action: [2. 0. 2. 0. 0.]
Episode: 183; Score: -0.10000000000000009; Action: [2. 2. 0. 2. 1.]
Episode: 184; Score: -0.55; Action: [0. 2. 0. 0. 2.]
Episode: 185; Score: -0.5; Action: [2. 1. 0. 0. 0.]
Episode: 186; Score: 3.022153582972156; Action: [2. 1. 2. 2. 2.]
Episode: 187; Score: 0.3; Action: [2. 2. 1. 0. 1.]
Episode: 188; Score: -0.15000000000000002; Action: [2. 0. 2. 1. 0.]
Episode: 189; Score: -0.10000000000000009; Action: [2. 0. 2. 0. 2.]
Episode: 190; Score: -0.55; Action: [1. 0. 2. 2. 0.]
Episode: 191; Score: -1.0; Action: [1. 0. 0. 1. 0.]
Episode: 192; Score: 4.9357111574540165; Action: [1. 1. 1. 1. 1.]
Episode: 193; Score: 0.3; Action: [2. 2. 2. 1. 2.]
Episode: 194; Score: 0.09999999999999998; Action: [2. 0. 2. 2. 0.]
Episode: 195; Score: 5.505561295998117; Action: [1. 1. 1. 1. 1.]
Episode: 196; Score: 0.55; Action: [2. 1. 0. 2. 0.]
Episode: 197; Score: -0.15000000000000002; Action: [0. 2. 2. 2. 0.]
Episode: 198; Score: 2.992251730290258; Action: [2. 1. 2. 2. 2.]
Episode: 199; Score: 0.04999999999999999; Action: [1. 2. 1. 0. 0.]
Episode: 200; Score: 0.09999999999999998; Action: [2. 0. 0. 1. 2.]
Episode: 201; Score: -0.3500000000000001; Action: [0. 2. 1. 1. 1.]
Episode: 202; Score: -0.30000000000000004; Action: [1. 1. 0. 2. 0.]
Episode: 203; Score: -0.75; Action: [0. 2. 0. 1. 2.]
Episode: 204; Score: 1.2899473692309935; Action: [0. 0. 0. 0. 0.]
Episode: 205; Score: 0.55; Action: [2. 0. 1. 2. 1.]
Episode: 206; Score: -0.4; Action: [1. 0. 2. 0. 1.]
Episode: 207; Score: -0.10000000000000009; Action: [2. 0. 1. 1. 1.]
Episode: 208; Score: -0.30000000000000004; Action: [2. 2. 1. 0. 0.]
Episode: 209; Score: -0.25; Action: [1. 1. 1. 2. 1.]
Episode: 210; Score: 1.2297457809681684; Action: [0. 0. 0. 0. 0.]
Episode: 211; Score: -0.2; Action: [1. 0. 2. 0. 0.]
Episode: 212; Score: 3.322081902605672; Action: [2. 1. 1. 2. 2.]
Episode: 213; Score: 0.04999999999999999; Action: [2. 0. 2. 0. 1.]
Episode: 214; Score: 0.09999999999999998; Action: [1. 1. 1. 0. 0.]
Episode: 215; Score: -0.6000000000000001; Action: [0. 2. 2. 0. 0.]
Episode: 216; Score: 1.5217578006294097; Action: [0. 0. 0. 0. 0.]
Episode: 217; Score: -0.2; Action: [0. 2. 0. 1. 1.]
Episode: 218; Score: -0.15000000000000002; Action: [1. 1. 2. 1. 0.]
Episode: 219; Score: -0.3500000000000001; Action: [0. 0. 2. 2. 0.]
Episode: 220; Score: -0.30000000000000004; Action: [2. 1. 0. 0. 0.]
Episode: 221; Score: -0.25; Action: [0. 2. 1. 2. 2.]
Episode: 222; Score: 2.9209061780467542; Action: [2. 1. 2. 2. 2.]
Episode: 223; Score: 0.3; Action: [2. 1. 2. 1. 1.]
Episode: 224; Score: 1.0; Action: [1. 1. 1. 2. 2.]
Episode: 225; Score: -0.2; Action: [1. 2. 2. 1. 1.]
Episode: 226; Score: 0.09999999999999998; Action: [0. 2. 1. 1. 2.]
Episode: 227; Score: 0.1499999999999999; Action: [2. 0. 2. 2. 2.]
Episode: 228; Score: 1.4934144564612337; Action: [0. 0. 0. 0. 0.]
Episode: 229; Score: 0.04999999999999999; Action: [1. 2. 0. 0. 2.]
Episode: 230; Score: -0.15000000000000002; Action: [2. 0. 2. 1. 1.]
Episode: 231; Score: -0.10000000000000009; Action: [2. 0. 2. 0. 2.]
Episode: 232; Score: -0.050000000000000044; Action: [2. 2. 1. 0. 2.]
Episode: 233; Score: -0.75; Action: [0. 0. 0. 2. 0.]
Episode: 234; Score: 1.309213200903201; Action: [0. 0. 0. 0. 0.]
Episode: 235; Score: 0.3; Action: [2. 1. 2. 1. 0.]
Episode: 236; Score: 0.09999999999999998; Action: [2. 2. 0. 2. 0.]
