Episode: 0; Score: 5.957740163258742; Action: [2 1 2 2 2]
Episode: 1; Score: 0.3; Action: [1 1 0 2 0]
Episode: 2; Score: 0.09999999999999998; Action: [2 0 0 2 1]
Episode: 3; Score: -0.10000000000000009; Action: [2 0 1 1 0]
Episode: 4; Score: -0.30000000000000004; Action: [0 2 1 0 2]
Episode: 5; Score: -0.75; Action: [0 1 2 1 0]
Episode: 6; Score: 5.867715448497098; Action: [2 1 2 2 2]
Episode: 7; Score: 0.04999999999999999; Action: [1 2 1 1 1]
Episode: 8; Score: 0.09999999999999998; Action: [2 2 1 0 1]
Episode: 9; Score: -0.10000000000000009; Action: [1 1 2 0 2]
Episode: 10; Score: -0.8; Action: [0 0 2 0 0]
Episode: 11; Score: -0.25; Action: [0 1 0 2 2]
Episode: 12; Score: 2.8668737657093994; Action: [0 0 0 0 0]
Episode: 13; Score: 0.04999999999999999; Action: [1 0 2 2 1]
Episode: 14; Score: -0.4; Action: [1 2 2 1 0]
Episode: 15; Score: -0.6000000000000001; Action: [1 0 0 0 0]
Episode: 16; Score: -0.050000000000000044; Action: [1 1 2 2 2]
Episode: 17; Score: -0.75; Action: [2 2 0 1 1]
Episode: 18; Score: 2.479681832561153; Action: [0 0 0 0 0]
Episode: 19; Score: 0.04999999999999999; Action: [1 0 0 2 1]
Episode: 20; Score: 0.09999999999999998; Action: [2 0 1 1 0]
Episode: 21; Score: -0.6000000000000001; Action: [0 0 2 0 0]
Episode: 22; Score: -0.30000000000000004; Action: [2 2 2 1 2]
Episode: 23; Score: -0.25; Action: [0 0 1 2 2]
Episode: 24; Score: 6.892245962850286; Action: [2 1 1 2 2]
Episode: 25; Score: -0.2; Action: [1 2 0 1 1]
Episode: 26; Score: 0.09999999999999998; Action: [2 1 0 1 1]
Episode: 27; Score: -0.3500000000000001; Action: [0 2 0 2 1]
Episode: 28; Score: -0.8; Action: [1 0 2 1 0]
Episode: 29; Score: -0.75; Action: [0 2 1 0 1]
Episode: 30; Score: 2.5917042381858937; Action: [0 0 0 0 0]
Episode: 31; Score: 0.3; Action: [0 0 1 2 1]
Episode: 32; Score: -0.15000000000000002; Action: [1 1 0 1 0]
Episode: 33; Score: 1.0; Action: [2 1 1 1 2]
Episode: 34; Score: 0.3; Action: [2 1 2 1 1]
Episode: 35; Score: 0.09999999999999998; Action: [1 0 1 1 2]
Episode: 36; Score: 6.061359045906427; Action: [2 1 2 2 2]
Episode: 37; Score: -0.2; Action: [1 2 0 0 0]
Episode: 38; Score: -0.15000000000000002; Action: [0 1 2 1 0]
Episode: 39; Score: 6.833310962019064; Action: [2 1 2 2 2]
Episode: 40; Score: 0.3; Action: [0 0 2 2 2]
Episode: 41; Score: 0.09999999999999998; Action: [1 2 1 0 2]
Episode: 42; Score: 6.89039624757576; Action: [2 1 1 2 2]
Episode: 43; Score: 0.04999999999999999; Action: [0 2 0 0 2]
Episode: 44; Score: 0.09999999999999998; Action: [0 0 1 2 1]
Episode: 45; Score: 0.1499999999999999; Action: [2 1 0 2 0]
Episode: 46; Score: -0.55; Action: [1 2 1 0 1]
Episode: 47; Score: -0.75; Action: [2 2 0 1 0]
Episode: 48; Score: 5.999655182663707; Action: [2 1 2 2 2]
Episode: 49; Score: 0.55; Action: [0 1 0 2 2]
Episode: 50; Score: 0.09999999999999998; Action: [0 1 2 0 2]
Episode: 51; Score: 12.738192032680445; Action: [1 1 1 1 1]
Episode: 52; Score: -0.2; Action: [0 2 2 0 1]
Episode: 53; Score: -0.4; Action: [0 2 2 0 0]
Episode: 54; Score: 2.50204631248497; Action: [0 0 0 0 0]
Episode: 55; Score: 0.04999999999999999; Action: [2 2 2 1 1]
Episode: 56; Score: -0.15000000000000002; Action: [0 0 1 0 1]
Episode: 57; Score: 0.1499999999999999; Action: [0 1 0 2 2]
Episode: 58; Score: -0.050000000000000044; Action: [0 1 1 2 0]
Episode: 59; Score: -0.75; Action: [2 2 0 0 0]
Episode: 60; Score: 12.956394363805114; Action: [1 1 1 1 1]
Episode: 61; Score: 0.3; Action: [1 2 1 0 2]
Episode: 62; Score: -0.15000000000000002; Action: [0 0 1 1 0]
Episode: 63; Score: -0.3500000000000001; Action: [1 0 2 2 0]
Episode: 64; Score: -0.30000000000000004; Action: [1 1 1 0 1]
Episode: 65; Score: -0.25; Action: [2 2 1 0 2]
Episode: 66; Score: 6.993810875730448; Action: [2 1 1 2 2]
Episode: 67; Score: -0.2; Action: [0 0 2 1 0]
Episode: 68; Score: 0.35; Action: [2 2 0 2 2]
Episode: 69; Score: -0.3500000000000001; Action: [1 1 2 1 0]
Episode: 70; Score: -0.30000000000000004; Action: [1 0 1 1 2]
Episode: 71; Score: -0.5; Action: [2 2 1 0 0]
Episode: 72; Score: 6.501800395295514; Action: [2 1 1 2 2]
Episode: 73; Score: 0.04999999999999999; Action: [1 2 2 0 2]
Episode: 74; Score: -0.15000000000000002; Action: [2 2 0 0 1]
Episode: 75; Score: -0.3500000000000001; Action: [0 0 1 0 1]
Episode: 76; Score: -0.55; Action: [0 1 2 0 1]
Episode: 77; Score: -0.75; Action: [0 1 2 1 1]
Episode: 78; Score: 2.6675414481197217; Action: [0 0 0 0 0]
Episode: 79; Score: 0.55; Action: [2 0 0 2 2]
Episode: 80; Score: -0.15000000000000002; Action: [1 2 2 2 0]
Episode: 81; Score: 1.0; Action: [2 1 1 2 1]
Episode: 82; Score: 0.3; Action: [2 0 0 1 2]
Episode: 83; Score: 0.09999999999999998; Action: [1 0 1 1 2]
Episode: 84; Score: 6.910528493130757; Action: [2 1 1 2 2]
Episode: 85; Score: 0.04999999999999999; Action: [2 2 2 1 0]
Episode: 86; Score: 0.35; Action: [2 2 1 1 2]
Episode: 87; Score: -0.3500000000000001; Action: [0 2 2 2 1]
Episode: 88; Score: 1.0; Action: [2 2 1 2 2]
Episode: 89; Score: 0.55; Action: [0 1 1 2 1]
Episode: 90; Score: 2.770238398890717; Action: [0 0 0 0 0]
Episode: 91; Score: 0.3; Action: [0 2 1 2 0]
Episode: 92; Score: 0.09999999999999998; Action: [2 0 0 2 1]
Episode: 93; Score: 0.1499999999999999; Action: [0 1 2 2 2]
Episode: 94; Score: -0.8; Action: [1 2 2 0 0]
Episode: 95; Score: -1.0; Action: [1 0 2 0 0]
Episode: 96; Score: 12.683432501033218; Action: [1 1 1 1 1]
Episode: 97; Score: 0.55; Action: [2 2 1 2 1]
