Episode: 0; Score: 12.474668135095321; Action: [1 1 1 1 1]
Episode: 1; Score: 0.04999999999999999; Action: [2 0 2 1 1]
Episode: 2; Score: -0.15000000000000002; Action: [1 2 2 0 2]
Episode: 3; Score: -0.10000000000000009; Action: [2 2 0 2 0]
Episode: 4; Score: -0.8; Action: [1 2 2 1 1]
Episode: 5; Score: -1.0; Action: [1 0 2 1 0]
Episode: 6; Score: 6.869685608401834; Action: [2 1 2 2 2]
Episode: 7; Score: 0.04999999999999999; Action: [0 1 2 1 1]
Episode: 8; Score: 0.09999999999999998; Action: [1 2 1 2 1]
Episode: 9; Score: -0.6000000000000001; Action: [0 2 2 1 0]
Episode: 10; Score: -0.30000000000000004; Action: [1 0 1 1 2]
Episode: 11; Score: -0.75; Action: [1 0 0 2 0]
Episode: 12; Score: 2.4601016963760105; Action: [0 0 0 0 0]
Episode: 13; Score: 0.04999999999999999; Action: [0 0 0 2 1]
Episode: 14; Score: -0.15000000000000002; Action: [2 2 2 1 0]
Episode: 15; Score: -0.6000000000000001; Action: [1 2 0 0 1]
Episode: 16; Score: -0.55; Action: [1 0 2 2 1]
Episode: 17; Score: -0.5; Action: [2 2 0 0 2]
Episode: 18; Score: 5.902882059853305; Action: [2 1 2 2 2]
Episode: 19; Score: 0.55; Action: [0 1 1 1 2]
Episode: 20; Score: -0.15000000000000002; Action: [1 2 1 0 0]
Episode: 21; Score: -0.3500000000000001; Action: [0 2 1 0 0]
Episode: 22; Score: -0.050000000000000044; Action: [1 1 1 2 0]
Episode: 23; Score: 1.0; Action: [2 0 1 2 2]
Episode: 24; Score: 2.441438492873841; Action: [0 0 0 0 0]
Episode: 25; Score: 0.3; Action: [0 2 1 1 2]
Episode: 26; Score: 0.09999999999999998; Action: [2 2 2 1 2]
Episode: 27; Score: -0.3500000000000001; Action: [1 0 0 0 2]
Episode: 28; Score: -0.050000000000000044; Action: [2 0 1 2 1]
Episode: 29; Score: -0.5; Action: [0 2 1 2 1]
Episode: 30; Score: 6.987931837556746; Action: [2 1 2 2 2]
Episode: 31; Score: 7.089934473546114; Action: [2 1 1 2 2]
Episode: 32; Score: -0.2; Action: [0 2 0 0 0]
Episode: 33; Score: -0.15000000000000002; Action: [2 2 0 0 1]
Episode: 34; Score: -0.3500000000000001; Action: [0 1 0 0 1]
Episode: 35; Score: -0.30000000000000004; Action: [1 1 2 2 1]
Episode: 36; Score: 7.069672315790375; Action: [2 1 2 2 2]
Episode: 37; Score: 0.04999999999999999; Action: [1 0 1 1 1]
Episode: 38; Score: -0.4; Action: [1 2 2 1 1]
Episode: 39; Score: 0.1499999999999999; Action: [0 1 1 2 0]
Episode: 40; Score: -0.55; Action: [0 1 2 0 0]
Episode: 41; Score: -0.5; Action: [0 2 1 1 2]
Episode: 42; Score: 2.4540050761457657; Action: [0 0 0 0 0]
Episode: 43; Score: 0.04999999999999999; Action: [2 0 2 0 0]
Episode: 44; Score: -0.15000000000000002; Action: [1 1 2 1 0]
Episode: 45; Score: 2.991611727186798; Action: [0 0 0 0 0]
Episode: 46; Score: 0.04999999999999999; Action: [0 2 1 0 0]
Episode: 47; Score: -0.4; Action: [1 2 0 1 0]
Episode: 48; Score: 6.908783382429276; Action: [2 1 2 2 2]
Episode: 49; Score: -0.2; Action: [1 0 2 0 0]
Episode: 50; Score: 1.0; Action: [2 2 1 2 2]
Episode: 51; Score: 0.55; Action: [2 2 0 2 2]
Episode: 52; Score: -0.15000000000000002; Action: [0 0 1 0 1]
Episode: 53; Score: -0.3500000000000001; Action: [1 0 2 1 2]
Episode: 54; Score: 6.647881580721549; Action: [2 1 1 2 2]
Episode: 55; Score: 0.55; Action: [2 0 1 2 0]
Episode: 56; Score: 0.09999999999999998; Action: [0 1 0 0 2]
Episode: 57; Score: -0.10000000000000009; Action: [2 2 1 0 1]
Episode: 58; Score: -0.55; Action: [0 2 0 1 2]
Episode: 59; Score: -0.25; Action: [1 1 0 2 2]
Episode: 60; Score: 11.218102243664882; Action: [1 1 1 1 1]
Episode: 61; Score: 0.04999999999999999; Action: [0 1 0 1 0]
Episode: 62; Score: -0.15000000000000002; Action: [1 0 2 0 2]
Episode: 63; Score: -0.10000000000000009; Action: [0 1 2 1 2]
Episode: 64; Score: -0.050000000000000044; Action: [0 1 1 2 0]
Episode: 65; Score: -0.75; Action: [0 0 0 0 2]
Episode: 66; Score: 6.863547136654873; Action: [2 1 1 2 2]
Episode: 67; Score: 1.0; Action: [2 1 1 1 2]
Episode: 68; Score: 0.04999999999999999; Action: [1 0 2 2 1]
Episode: 69; Score: 0.09999999999999998; Action: [2 1 2 0 0]
Episode: 70; Score: -0.10000000000000009; Action: [0 0 0 2 2]
Episode: 71; Score: -0.5; Action: [0 0 0 2 2]
Episode: 72; Score: 12.75928079239386; Action: [1 1 1 1 1]
Episode: 73; Score: 0.3; Action: [1 1 1 0 0]
Episode: 74; Score: 0.09999999999999998; Action: [2 2 1 1 0]
Episode: 75; Score: -0.3500000000000001; Action: [1 0 2 2 0]
Episode: 76; Score: -0.30000000000000004; Action: [0 1 0 2 0]
Episode: 77; Score: -1.0; Action: [1 0 2 1 1]
Episode: 78; Score: 2.9892193703293493; Action: [0 0 0 0 0]
Episode: 79; Score: 0.3; Action: [2 2 0 1 2]
Episode: 80; Score: -0.15000000000000002; Action: [1 0 0 2 0]
Episode: 81; Score: -0.10000000000000009; Action: [0 2 2 2 2]
Episode: 82; Score: -0.050000000000000044; Action: [1 1 2 2 2]
Episode: 83; Score: -1.0; Action: [0 2 0 0 0]
Episode: 84; Score: 6.57927208140474; Action: [2 1 2 2 2]
Episode: 85; Score: 0.04999999999999999; Action: [1 2 2 2 1]
Episode: 86; Score: 0.09999999999999998; Action: [2 1 2 1 1]
Episode: 87; Score: -0.3500000000000001; Action: [2 0 0 0 0]
Episode: 88; Score: -0.30000000000000004; Action: [0 2 2 2 2]
Episode: 89; Score: -1.0; Action: [0 0 0 1 1]
Episode: 90; Score: 2.839645589494748; Action: [0 0 0 0 0]
Episode: 91; Score: 0.04999999999999999; Action: [2 0 0 0 0]
Episode: 92; Score: 0.09999999999999998; Action: [1 1 2 1 2]
Episode: 93; Score: -0.6000000000000001; Action: [0 0 2 1 0]
Episode: 94; Score: -0.30000000000000004; Action: [1 1 2 1 2]
Episode: 95; Score: -0.5; Action: [0 1 2 1 2]
Episode: 96; Score: 6.029731375403742; Action: [2 1 2 2 2]
Episode: 97; Score: 0.3; Action: [2 0 1 1 0]
Episode: 98; Score: 0.35; Action: [2 1 1 1 1]
Episode: 99; Score: -0.10000000000000009; Action: [1 1 0 0 2]
Episode: 100; Score: -0.050000000000000044; Action: [2 2 1 2 1]
Episode: 101; Score: -0.25; Action: [0 1 1 1 2]
Episode: 102; Score: 6.908783382429276; Action: [2 1 2 2 2]
Episode: 103; Score: 0.3; Action: [1 0 1 2 1]
Episode: 104; Score: -0.15000000000000002; Action: [0 2 2 2 1]
Episode: 105; Score: -0.3500000000000001; Action: [0 1 2 0 0]
Episode: 106; Score: -0.30000000000000004; Action: [2 0 0 2 0]
Episode: 107; Score: -0.75; Action: [0 0 2 0 2]
Episode: 108; Score: 11.276468923866851; Action: [1 1 1 1 1]
Episode: 109; Score: 0.04999999999999999; Action: [0 0 0 1 2]
Episode: 110; Score: -0.15000000000000002; Action: [0 2 1 0 0]
Episode: 111; Score: -0.3500000000000001; Action: [0 2 0 0 2]
Episode: 112; Score: -0.55; Action: [0 2 1 0 0]
Episode: 113; Score: -0.5; Action: [0 1 1 0 0]
Episode: 114; Score: 6.729563332129048; Action: [2 1 1 2 2]
Episode: 115; Score: 0.04999999999999999; Action: [1 2 2 2 1]
Episode: 116; Score: 0.09999999999999998; Action: [2 2 2 2 1]
Episode: 117; Score: -0.6000000000000001; Action: [0 0 2 0 0]
Episode: 118; Score: -0.55; Action: [0 2 2 2 1]
Episode: 119; Score: -0.25; Action: [2 0 1 2 0]
Episode: 120; Score: 6.660739352786241; Action: [2 1 2 2 2]
Episode: 121; Score: 1.0; Action: [2 0 1 2 2]
Episode: 122; Score: 0.04999999999999999; Action: [2 2 0 1 1]
Episode: 123; Score: 0.09999999999999998; Action: [2 1 0 0 0]
Episode: 124; Score: 0.1499999999999999; Action: [2 1 2 0 2]
Episode: 125; Score: -0.050000000000000044; Action: [0 1 1 2 0]
Episode: 126; Score: 3.0660061349757393; Action: [0 0 0 0 0]
Episode: 127; Score: 0.3; Action: [0 2 1 2 1]
Episode: 128; Score: 0.09999999999999998; Action: [0 1 2 0 2]
Episode: 129; Score: -0.3500000000000001; Action: [1 2 0 0 2]
Episode: 130; Score: -0.55; Action: [2 0 2 0 1]
Episode: 131; Score: -0.75; Action: [0 0 2 2 1]
Episode: 132; Score: 7.119936782183403; Action: [2 1 1 2 2]
Episode: 133; Score: 0.55; Action: [1 1 1 0 2]
Episode: 134; Score: -0.4; Action: [1 0 2 0 0]
Episode: 135; Score: -0.3500000000000001; Action: [2 0 2 1 1]
Episode: 136; Score: -0.55; Action: [0 0 2 2 0]
Episode: 137; Score: -0.5; Action: [2 1 2 1 0]
Episode: 138; Score: 11.394254526319743; Action: [1 1 1 1 1]
Episode: 139; Score: -0.2; Action: [1 2 0 0 1]
Episode: 140; Score: 0.09999999999999998; Action: [1 1 0 1 2]
Episode: 141; Score: -0.10000000000000009; Action: [2 2 0 2 1]
Episode: 142; Score: -0.8; Action: [1 0 0 1 1]
Episode: 143; Score: -0.5; Action: [2 2 2 1 2]
Episode: 144; Score: 6.508497377870819; Action: [2 1 2 2 2]
Episode: 145; Score: 0.55; Action: [1 0 1 2 2]
Episode: 146; Score: -0.15000000000000002; Action: [1 0 0 2 1]
Episode: 147; Score: -0.3500000000000001; Action: [0 2 0 2 0]
Episode: 148; Score: -0.30000000000000004; Action: [2 0 2 0 2]
Episode: 149; Score: -0.5; Action: [1 1 2 2 0]
Episode: 150; Score: 2.452178132994837; Action: [0 0 0 0 0]
Episode: 151; Score: 0.3; Action: [0 1 2 0 2]
Episode: 152; Score: 0.35; Action: [2 0 1 2 1]
Episode: 153; Score: 0.1499999999999999; Action: [1 1 1 0 2]
Episode: 154; Score: 6.644163805211344; Action: [2 1 1 2 2]
Episode: 155; Score: 0.55; Action: [1 1 1 2 0]
Episode: 156; Score: 2.824871656137346; Action: [0 0 0 0 0]
Episode: 157; Score: 0.3; Action: [0 2 1 2 0]
Episode: 158; Score: -0.15000000000000002; Action: [1 2 1 0 1]
Episode: 159; Score: -0.10000000000000009; Action: [2 2 0 0 2]
Episode: 160; Score: -0.050000000000000044; Action: [2 2 1 2 1]
Episode: 161; Score: -0.5; Action: [2 2 0 1 2]
Episode: 162; Score: 6.515453513546455; Action: [2 1 1 2 2]
Episode: 163; Score: 0.55; Action: [2 1 0 0 2]
Episode: 164; Score: 0.09999999999999998; Action: [0 1 1 1 1]
Episode: 165; Score: -0.10000000000000009; Action: [2 2 1 0 1]
Episode: 166; Score: -0.55; Action: [0 1 2 0 0]
Episode: 167; Score: -0.75; Action: [0 0 2 2 1]
Episode: 168; Score: 2.8929499521250066; Action: [0 0 0 0 0]
Episode: 169; Score: -0.2; Action: [1 0 0 0 0]
Episode: 170; Score: -0.15000000000000002; Action: [1 2 2 2 1]
Episode: 171; Score: -0.10000000000000009; Action: [2 1 0 1 0]
Episode: 172; Score: -0.050000000000000044; Action: [0 1 1 2 1]
Episode: 173; Score: -0.25; Action: [2 2 0 2 2]
Episode: 174; Score: 6.570850929644481; Action: [2 1 2 2 2]
Episode: 175; Score: 0.3; Action: [1 0 0 2 2]
Episode: 176; Score: 0.35; Action: [1 1 1 2 0]
Episode: 177; Score: -0.10000000000000009; Action: [1 1 1 0 0]
Episode: 178; Score: 1.0; Action: [2 1 0 2 2]
Episode: 179; Score: 0.3; Action: [0 0 0 2 2]
Episode: 180; Score: 12.445945772972971; Action: [1 1 1 1 1]
Episode: 181; Score: 0.04999999999999999; Action: [0 0 0 1 2]
Episode: 182; Score: 0.09999999999999998; Action: [2 0 0 2 0]
Episode: 183; Score: -0.10000000000000009; Action: [0 2 1 1 2]
Episode: 184; Score: -0.55; Action: [1 0 0 0 2]
Episode: 185; Score: -0.75; Action: [1 1 2 1 0]
Episode: 186; Score: 5.899152603227229; Action: [2 1 2 2 2]
Episode: 187; Score: 0.3; Action: [0 2 2 2 2]
Episode: 188; Score: 1.0; Action: [2 1 1 0 2]
Episode: 189; Score: 0.3; Action: [2 0 0 0 2]
Episode: 190; Score: 0.09999999999999998; Action: [0 1 0 0 2]
Episode: 191; Score: -0.3500000000000001; Action: [0 0 0 2 0]
Episode: 192; Score: 6.163334318943513; Action: [2 1 2 2 2]
Episode: 193; Score: 0.04999999999999999; Action: [0 2 2 1 2]
Episode: 194; Score: -0.15000000000000002; Action: [2 0 2 1 1]
Episode: 195; Score: -0.10000000000000009; Action: [2 2 2 2 1]
Episode: 196; Score: -0.55; Action: [0 2 2 2 0]
Episode: 197; Score: -0.25; Action: [1 1 1 1 2]
Episode: 198; Score: 11.597762828622646; Action: [1 1 1 1 1]
Episode: 199; Score: -0.2; Action: [1 0 2 0 0]
Episode: 200; Score: 0.35; Action: [1 1 1 2 1]
Episode: 201; Score: -0.6000000000000001; Action: [0 0 0 0 1]
Episode: 202; Score: -0.55; Action: [1 1 0 1 1]
Episode: 203; Score: -0.75; Action: [1 2 1 0 0]
Episode: 204; Score: 7.1193736195908635; Action: [2 1 1 2 2]
Episode: 205; Score: -0.2; Action: [0 2 2 0 1]
Episode: 206; Score: 0.09999999999999998; Action: [0 1 0 2 0]
Episode: 207; Score: -0.10000000000000009; Action: [1 1 0 2 0]
Episode: 208; Score: -0.30000000000000004; Action: [0 0 2 2 2]
Episode: 209; Score: -0.5; Action: [1 1 2 2 0]
Episode: 210; Score: 12.293250267536848; Action: [1 1 1 1 1]
Episode: 211; Score: 0.04999999999999999; Action: [1 2 1 0 1]
Episode: 212; Score: -0.15000000000000002; Action: [1 0 0 1 2]
Episode: 213; Score: -0.3500000000000001; Action: [1 0 1 1 1]
Episode: 214; Score: -0.55; Action: [1 0 2 1 2]
Episode: 215; Score: -0.25; Action: [2 0 0 2 2]
Episode: 216; Score: 11.90544116416029; Action: [1 1 1 1 1]
Episode: 217; Score: 0.55; Action: [2 0 1 2 1]
Episode: 218; Score: 0.35; Action: [2 1 2 2 1]
Episode: 219; Score: -0.10000000000000009; Action: [1 1 0 0 2]
Episode: 220; Score: -0.55; Action: [0 0 0 2 1]
Episode: 221; Score: -0.25; Action: [1 1 1 0 2]
Episode: 222; Score: 7.02328083294201; Action: [2 1 1 2 2]
Episode: 223; Score: 0.3; Action: [0 1 0 1 2]
Episode: 224; Score: 0.09999999999999998; Action: [2 2 2 2 1]
Episode: 225; Score: 0.1499999999999999; Action: [2 0 2 2 2]
Episode: 226; Score: -0.050000000000000044; Action: [0 1 1 2 0]
Episode: 227; Score: -0.75; Action: [0 0 0 2 0]
Episode: 228; Score: 6.570771786061256; Action: [2 1 1 2 2]
Episode: 229; Score: 0.04999999999999999; Action: [0 2 0 2 0]
Episode: 230; Score: 0.09999999999999998; Action: [1 1 0 2 1]
Episode: 231; Score: -0.6000000000000001; Action: [1 0 0 0 0]
Episode: 232; Score: -0.30000000000000004; Action: [2 2 1 0 1]
Episode: 233; Score: -0.5; Action: [0 1 1 0 0]
Episode: 234; Score: 2.4375963170915065; Action: [0 0 0 0 0]
Episode: 235; Score: -0.2; Action: [0 0 2 0 1]
Episode: 236; Score: 0.09999999999999998; Action: [1 1 0 1 2]
Episode: 237; Score: -0.10000000000000009; Action: [2 0 1 1 0]
Episode: 238; Score: -0.30000000000000004; Action: [0 1 1 1 1]
Episode: 239; Score: -0.5; Action: [1 1 2 0 2]
Episode: 240; Score: 11.33253025905792; Action: [1 1 1 1 1]
Episode: 241; Score: -0.2; Action: [0 2 0 1 0]
Episode: 242; Score: -0.15000000000000002; Action: [0 2 1 0 0]
Episode: 243; Score: -0.3500000000000001; Action: [2 2 0 1 1]
Episode: 244; Score: -0.050000000000000044; Action: [2 2 1 0 2]
Episode: 245; Score: 1.0; Action: [2 2 1 2 2]
Episode: 246; Score: 12.862448871502728; Action: [1 1 1 1 1]
Episode: 247; Score: 0.3; Action: [1 0 1 2 1]
Episode: 248; Score: -0.15000000000000002; Action: [0 0 2 2 1]
Episode: 249; Score: 0.1499999999999999; Action: [0 1 1 1 2]
Episode: 250; Score: -0.55; Action: [1 2 0 2 0]
Episode: 251; Score: -1.0; Action: [0 0 0 1 0]
Episode: 252; Score: 2.6201301800217216; Action: [0 0 0 0 0]
Episode: 253; Score: 0.04999999999999999; Action: [1 1 2 1 0]
Episode: 254; Score: -0.15000000000000002; Action: [0 2 2 2 1]
Episode: 255; Score: -0.3500000000000001; Action: [1 1 0 1 0]
Episode: 256; Score: -0.8; Action: [1 2 2 0 0]
Episode: 257; Score: -0.75; Action: [0 0 0 0 2]
Episode: 258; Score: 6.526024055053835; Action: [2 1 1 2 2]
Episode: 259; Score: 0.04999999999999999; Action: [0 1 2 0 0]
Episode: 260; Score: 0.09999999999999998; Action: [1 0 2 2 2]
Episode: 261; Score: -0.10000000000000009; Action: [0 1 0 1 2]
Episode: 262; Score: -0.30000000000000004; Action: [1 2 1 2 1]
Episode: 263; Score: -0.25; Action: [2 1 2 2 0]
Episode: 264; Score: 5.985191318710478; Action: [2 1 2 2 2]
Episode: 265; Score: 0.04999999999999999; Action: [2 2 2 1 0]
Episode: 266; Score: 0.09999999999999998; Action: [2 0 1 1 1]
Episode: 267; Score: 0.1499999999999999; Action: [2 1 2 1 2]
Episode: 268; Score: -0.30000000000000004; Action: [2 2 1 1 1]
Episode: 269; Score: 6.87171429399634; Action: [2 1 2 2 2]
Episode: 270; Score: 2.727716393709127; Action: [0 0 0 0 0]
Episode: 271; Score: -0.2; Action: [1 0 2 0 0]
Episode: 272; Score: -0.15000000000000002; Action: [1 2 1 1 0]
Episode: 273; Score: -0.3500000000000001; Action: [2 0 0 1 1]
Episode: 274; Score: -0.8; Action: [0 2 2 0 0]
Episode: 275; Score: -0.75; Action: [0 0 1 0 1]
Episode: 276; Score: 7.06129402182097; Action: [2 1 1 2 2]
Episode: 277; Score: 0.3; Action: [1 1 0 1 2]
Episode: 278; Score: -0.15000000000000002; Action: [1 1 0 1 0]
Episode: 279; Score: -0.3500000000000001; Action: [2 0 0 1 1]
Episode: 280; Score: -0.8; Action: [1 0 0 0 1]
Episode: 281; Score: 1.0; Action: [2 1 1 0 2]
Episode: 282; Score: 6.424337178363176; Action: [2 1 1 2 2]
Episode: 283; Score: 0.04999999999999999; Action: [0 0 0 2 1]
Episode: 284; Score: 0.35; Action: [1 1 1 2 1]
Episode: 285; Score: 0.1499999999999999; Action: [2 1 1 0 1]
Episode: 286; Score: 1.0; Action: [2 1 1 1 2]
Episode: 287; Score: 1.0; Action: [0 1 1 2 2]
Episode: 288; Score: 3.066251544525332; Action: [0 0 0 0 0]
Episode: 289; Score: 0.55; Action: [1 0 1 2 2]
