Episode: 101; Score: -1.0999999999999999; Action: [2 1 0 0 2]
Episode: 102; Score: -1.0999999999999999; Action: [2 0 0 2 2]
Episode: 103; Score: -1.4; Action: [2 2 1 0 0]
Episode: 104; Score: 3.405231137331483; Action: [2 1 1 2 2]
Episode: 105; Score: -1.7; Action: [0 2 1 0 1]
Episode: 106; Score: -1.7; Action: [0 2 1 0 1]
Episode: 107; Score: -1.4; Action: [2 2 2 1 2]
Episode: 108; Score: -1.4; Action: [2 2 0 2 0]
Episode: 109; Score: -1.7; Action: [0 2 1 0 1]
Episode: 110; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 111; Score: -1.7; Action: [0 2 1 0 1]
Episode: 112; Score: -1.7; Action: [0 2 1 0 1]
Episode: 113; Score: -1.4; Action: [2 0 0 2 0]
Episode: 114; Score: -1.7; Action: [0 2 1 0 1]
Episode: 115; Score: -1.7; Action: [2 0 0 0 0]
Episode: 116; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 117; Score: -1.7; Action: [0 2 1 0 1]
Episode: 118; Score: -1.7; Action: [0 2 1 0 1]
Episode: 119; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 120; Score: -1.0999999999999999; Action: [2 2 1 2 0]
Episode: 121; Score: -1.7; Action: [0 2 1 0 1]
Episode: 122; Score: -0.7999999999999998; Action: [2 1 0 2 2]
Episode: 123; Score: -0.7999999999999998; Action: [2 2 1 2 2]
Episode: 124; Score: -1.0999999999999999; Action: [2 1 2 2 0]
Episode: 125; Score: -1.4; Action: [2 0 0 0 2]
Episode: 126; Score: -1.4; Action: [2 0 0 2 0]
Episode: 127; Score: -1.7; Action: [0 2 1 0 1]
Episode: 128; Score: -1.4; Action: [2 2 0 1 2]
Episode: 129; Score: -1.4; Action: [2 2 0 0 2]
Episode: 130; Score: -1.7; Action: [1 0 0 2 0]
Episode: 131; Score: -1.4; Action: [2 1 0 0 0]
Episode: 132; Score: -1.7; Action: [2 0 0 0 0]
Episode: 133; Score: -1.7; Action: [0 2 1 0 1]
Episode: 134; Score: -1.7; Action: [2 2 2 1 0]
Episode: 135; Score: -0.7999999999999998; Action: [0 1 1 2 2]
Episode: 136; Score: -1.4; Action: [2 0 0 2 0]
Episode: 137; Score: -1.4; Action: [2 0 0 1 2]
Episode: 138; Score: -1.7; Action: [2 2 0 1 0]
Episode: 139; Score: -1.4; Action: [2 2 2 2 0]
Episode: 140; Score: -1.4; Action: [2 2 2 2 1]
Episode: 141; Score: -1.4; Action: [2 0 1 1 0]
Episode: 142; Score: -1.7; Action: [0 2 1 0 1]
Episode: 143; Score: -1.7; Action: [0 2 1 0 1]
Episode: 144; Score: -1.7; Action: [0 2 1 0 1]
Episode: 145; Score: -1.7; Action: [0 2 1 0 1]
Episode: 146; Score: -1.4; Action: [2 2 0 1 2]
Episode: 147; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 148; Score: -1.7; Action: [0 2 1 0 1]
Episode: 149; Score: -0.7999999999999998; Action: [2 1 0 2 2]
Episode: 150; Score: -1.7; Action: [0 2 1 0 1]
Episode: 151; Score: -1.7; Action: [0 2 2 2 0]
Episode: 152; Score: -1.4; Action: [2 2 0 2 0]
Episode: 153; Score: -1.0999999999999999; Action: [2 1 1 0 0]
Episode: 154; Score: -1.4; Action: [2 2 2 2 0]
Episode: 155; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 156; Score: -1.4; Action: [2 0 0 2 0]
Episode: 157; Score: -1.4; Action: [2 0 0 0 2]
Episode: 158; Score: -1.7; Action: [2 2 0 0 0]
Episode: 159; Score: -1.4; Action: [1 1 0 2 0]
Episode: 160; Score: -1.4; Action: [2 2 2 2 0]
Episode: 161; Score: -1.0999999999999999; Action: [2 2 1 2 0]
Episode: 162; Score: -1.7; Action: [1 0 0 2 0]
Episode: 163; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 164; Score: -1.7; Action: [0 2 1 0 1]
Episode: 165; Score: -1.4; Action: [2 2 0 1 2]
Episode: 166; Score: -1.7; Action: [0 2 1 0 1]
Episode: 167; Score: -1.7; Action: [1 1 0 0 0]
Episode: 168; Score: -1.7; Action: [2 2 0 1 0]
Episode: 169; Score: -1.7; Action: [1 1 0 0 1]
Episode: 170; Score: -1.7; Action: [1 2 0 2 0]
Episode: 171; Score: -1.7; Action: [0 2 1 0 1]
Episode: 172; Score: -1.7; Action: [0 2 1 0 1]
Episode: 173; Score: -1.0999999999999999; Action: [2 1 0 0 2]
Episode: 174; Score: -1.0999999999999999; Action: [2 2 2 2 2]
Episode: 175; Score: -1.7; Action: [2 0 0 1 0]
Episode: 176; Score: -1.7; Action: [2 2 0 1 0]
Episode: 177; Score: -1.7; Action: [0 2 1 0 1]
Episode: 178; Score: -1.7; Action: [1 2 2 2 0]
Episode: 179; Score: -0.7999999999999998; Action: [2 2 1 2 2]
Episode: 180; Score: -1.7; Action: [2 0 0 1 0]
Episode: 181; Score: -1.7; Action: [0 2 1 0 1]
Episode: 182; Score: -1.4; Action: [2 1 2 0 0]
Episode: 183; Score: -1.7; Action: [1 0 0 2 0]
Episode: 184; Score: -1.4; Action: [2 2 0 0 2]
Episode: 185; Score: -1.0999999999999999; Action: [2 2 1 1 2]
Episode: 186; Score: -1.7; Action: [1 0 0 2 0]
Episode: 187; Score: -1.7; Action: [0 2 1 0 1]
Episode: 188; Score: -1.7; Action: [0 2 1 0 1]
Episode: 189; Score: -1.7; Action: [0 2 1 0 1]
Episode: 190; Score: -1.4; Action: [2 2 0 2 0]
Episode: 191; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 192; Score: -1.7; Action: [0 2 1 0 1]
Episode: 193; Score: -0.7999999999999998; Action: [2 2 1 2 2]
Episode: 194; Score: -1.4; Action: [1 1 0 2 0]
Episode: 195; Score: -1.4; Action: [2 2 0 1 2]
Episode: 196; Score: -1.7; Action: [0 2 1 0 1]
Episode: 197; Score: -0.7999999999999998; Action: [2 2 1 2 2]
Episode: 198; Score: -1.7; Action: [0 2 1 0 1]
Episode: 199; Score: -1.4; Action: [2 2 0 2 0]
Episode: 200; Score: -1.0999999999999999; Action: [2 1 2 2 0]
Episode: 201; Score: -1.4; Action: [1 2 1 2 0]
Episode: 202; Score: -1.4; Action: [2 1 0 0 0]
Episode: 203; Score: -0.7999999999999998; Action: [2 2 1 2 2]
Episode: 204; Score: -1.7; Action: [0 2 1 0 1]
Episode: 205; Score: -1.7; Action: [1 0 0 2 0]
Episode: 206; Score: -1.7; Action: [0 2 1 0 1]
Episode: 207; Score: -1.7; Action: [0 2 1 0 1]
Episode: 208; Score: -1.7; Action: [2 0 0 0 0]
Episode: 209; Score: -1.0999999999999999; Action: [2 1 0 2 0]
Episode: 210; Score: -1.4; Action: [2 2 0 2 0]
Episode: 211; Score: -0.7999999999999998; Action: [2 1 0 2 2]
Episode: 212; Score: -1.0999999999999999; Action: [2 2 2 2 2]
Episode: 213; Score: -1.0999999999999999; Action: [2 2 1 2 0]
Episode: 214; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 215; Score: -1.4; Action: [2 0 0 0 2]
Episode: 216; Score: -1.7; Action: [1 2 2 2 0]
Episode: 217; Score: -1.7; Action: [2 0 0 1 0]
Episode: 218; Score: -1.0999999999999999; Action: [2 1 0 0 2]
Episode: 219; Score: -0.7999999999999998; Action: [2 1 0 2 2]
Episode: 220; Score: -1.7; Action: [0 2 1 0 1]
Episode: 221; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 222; Score: -1.0999999999999999; Action: [2 0 0 2 2]
Episode: 223; Score: -1.4; Action: [2 2 2 2 0]
Episode: 224; Score: -1.0999999999999999; Action: [2 2 1 0 2]
Episode: 225; Score: -1.7; Action: [0 2 1 0 1]
