Episode: 105; Score: [-7.4872724]; Action: [0.44342217]
Episode: 106; Score: [-2.10861565]; Action: [0.59766281]
Episode: 107; Score: [-5.51755848]; Action: [-0.98283977]
Episode: 108; Score: [-8.90690272]; Action: [-0.91843626]
Episode: 109; Score: [-9.1492976]; Action: [0.28997555]
Episode: 110; Score: [-9.26809409]; Action: [-0.71526556]
Episode: 111; Score: [-6.03263922]; Action: [0.18733691]
Episode: 112; Score: [-7.33091102]; Action: [0.82479306]
Episode: 113; Score: [-1.78385911]; Action: [-0.01611785]
Episode: 114; Score: [-8.71622251]; Action: [-0.25655438]
Episode: 115; Score: [-8.33402053]; Action: [-0.62749662]
Episode: 116; Score: [-1.71595392]; Action: [-0.39917841]
Episode: 117; Score: [-1.77447375]; Action: [-0.58472359]
Episode: 118; Score: [-6.85940112]; Action: [0.52843664]
Episode: 119; Score: [-11.42170545]; Action: [0.34615947]
Episode: 120; Score: [-3.22115291]; Action: [-0.64662015]
Episode: 121; Score: [-7.36455049]; Action: [0.64411442]
Episode: 122; Score: [-7.48796494]; Action: [-0.67636912]
Episode: 123; Score: [-6.08807412]; Action: [-0.45989424]
Episode: 124; Score: [-9.02033007]; Action: [-0.88417861]
Episode: 125; Score: [-7.90535515]; Action: [0.07826874]
Episode: 126; Score: [-8.21944663]; Action: [0.20631114]
Episode: 127; Score: [-4.50601318]; Action: [0.16127928]
