Episode: 0; Score: [-8.368413]; Action: [-0.82221108]
Episode: 1; Score: [-5.7940941]; Action: [-0.13905235]
Episode: 2; Score: [-9.07875124]; Action: [0.82840691]
Episode: 3; Score: [-9.29444536]; Action: [-0.30013392]
Episode: 4; Score: [-8.35401971]; Action: [-1.]
Episode: 5; Score: [-10.49144742]; Action: [-0.43641596]
Episode: 6; Score: [-2.52765624]; Action: [0.53205586]
Episode: 7; Score: [-2.62101863]; Action: [0.46812778]
Episode: 8; Score: [-8.62994605]; Action: [0.52710797]
Episode: 9; Score: [-8.41176383]; Action: [0.53301327]
Episode: 10; Score: [-6.36001842]; Action: [-0.1321657]
Episode: 11; Score: [-8.47504524]; Action: [0.50679958]
Episode: 12; Score: [-7.4164421]; Action: [-0.30943518]
Episode: 13; Score: [-9.24077751]; Action: [-0.85768774]
Episode: 14; Score: [-4.44804951]; Action: [0.27526367]
Episode: 15; Score: [-7.30799307]; Action: [-0.65259655]
Episode: 16; Score: [-9.57142209]; Action: [0.3641142]
Episode: 17; Score: [-4.82877117]; Action: [0.11991117]
Episode: 18; Score: [-1.99164646]; Action: [-0.69042896]
Episode: 19; Score: [-7.12978766]; Action: [0.70756849]
Episode: 20; Score: [-9.49467762]; Action: [0.24304306]
Episode: 21; Score: [-8.4636221]; Action: [-0.54602339]
Episode: 22; Score: [-3.46940764]; Action: [0.73786618]
Episode: 23; Score: [-4.02850191]; Action: [1.]
Episode: 24; Score: [-6.79172285]; Action: [0.1481546]
Episode: 25; Score: [-7.76225045]; Action: [-0.00405442]
Episode: 26; Score: [-2.35972072]; Action: [-0.23337012]
Episode: 27; Score: [-2.78662021]; Action: [0.68002306]
Episode: 28; Score: [-5.21009617]; Action: [0.38143978]
Episode: 29; Score: [-3.45437232]; Action: [0.6851104]
Episode: 30; Score: [-6.66034815]; Action: [-0.58092351]
Episode: 31; Score: [-3.58184455]; Action: [0.97623789]
Episode: 32; Score: [-2.59604076]; Action: [0.89424416]
Episode: 33; Score: [-7.21253834]; Action: [-0.66155972]
Episode: 34; Score: [-3.02734062]; Action: [-1.]
Episode: 35; Score: [-6.14486363]; Action: [0.75493032]
Episode: 36; Score: [-6.79590534]; Action: [-0.88796028]
Episode: 37; Score: [-9.95282708]; Action: [0.00397105]
Episode: 38; Score: [-3.63996372]; Action: [0.37875274]
Episode: 39; Score: [-9.15186902]; Action: [-0.74922151]
Episode: 40; Score: [-3.81424942]; Action: [-0.53026581]
Episode: 41; Score: [-7.55357522]; Action: [0.65868318]
Episode: 42; Score: [-4.26541115]; Action: [-0.4540998]
Episode: 43; Score: [-4.44407874]; Action: [-0.65198085]
Episode: 44; Score: [-9.25597854]; Action: [0.01907703]
Episode: 45; Score: [-7.37797184]; Action: [-0.02108622]
Episode: 46; Score: [-8.22962853]; Action: [0.84752017]
Episode: 47; Score: [-8.42138257]; Action: [0.1054918]
Episode: 48; Score: [-5.54992034]; Action: [0.21034045]
Episode: 49; Score: [-8.56468581]; Action: [-0.01682045]
Episode: 50; Score: [-8.34469613]; Action: [0.21090274]
Episode: 51; Score: [-9.01854109]; Action: [0.80674598]
Episode: 52; Score: [-2.64120612]; Action: [-0.23119897]
Episode: 53; Score: [-7.76405695]; Action: [0.58046062]
Episode: 54; Score: [-10.26320444]; Action: [-0.68141072]
Episode: 55; Score: [-5.27427203]; Action: [0.07511001]
Episode: 56; Score: [-2.67603462]; Action: [-0.89057162]
Episode: 57; Score: [-8.50280435]; Action: [-0.8319898]
Episode: 58; Score: [-2.54789849]; Action: [-0.71880085]
Episode: 59; Score: [-5.01218337]; Action: [0.77200168]
Episode: 60; Score: [-2.63468821]; Action: [-0.5459808]
Episode: 61; Score: [-8.40422847]; Action: [-0.12812006]
Episode: 62; Score: [-7.55812924]; Action: [0.66361047]
Episode: 63; Score: [-4.33274661]; Action: [0.73710012]
Episode: 64; Score: [-9.46563929]; Action: [-0.03307709]
Episode: 65; Score: [-6.96693019]; Action: [0.33446917]
Episode: 66; Score: [-2.75040835]; Action: [-0.51140848]
Episode: 67; Score: [-6.76316066]; Action: [0.61960215]
Episode: 68; Score: [-7.04878233]; Action: [0.44894111]
Episode: 69; Score: [-3.11519514]; Action: [0.58996954]
Episode: 70; Score: [-9.84192047]; Action: [0.01771299]
Episode: 71; Score: [-8.86225259]; Action: [-0.15998163]
Episode: 72; Score: [-5.48075026]; Action: [0.18033091]
Episode: 73; Score: [-6.82518101]; Action: [0.64659641]
Episode: 74; Score: [-4.21401726]; Action: [-0.19947285]
Episode: 75; Score: [-4.50576022]; Action: [-0.74356112]
Episode: 76; Score: [-9.28290562]; Action: [-0.59632173]
Episode: 77; Score: [-8.52148528]; Action: [-0.52284536]
Episode: 78; Score: [-7.67878391]; Action: [0.24426742]
Episode: 79; Score: [-9.52303814]; Action: [-0.77539356]
Episode: 80; Score: [-9.51717383]; Action: [0.18932458]
Episode: 81; Score: [-2.68806304]; Action: [0.46216036]
Episode: 82; Score: [-2.09807211]; Action: [-0.37454416]
Episode: 83; Score: [-9.50533187]; Action: [-0.54206567]
Episode: 84; Score: [-8.47217539]; Action: [0.08619768]
Episode: 85; Score: [-3.89432676]; Action: [-0.19541076]
Episode: 86; Score: [-1.09040415]; Action: [-0.16554222]
Episode: 87; Score: [-6.53715956]; Action: [-0.62294659]
Episode: 88; Score: [-7.76179463]; Action: [-0.77108486]
Episode: 89; Score: [-8.08694332]; Action: [0.5954739]
Episode: 90; Score: [-6.63291169]; Action: [0.33861358]
Episode: 91; Score: [-7.7024542]; Action: [-0.56734672]
Episode: 92; Score: [-7.60113344]; Action: [-0.32434139]
Episode: 93; Score: [-7.87442726]; Action: [-0.33509894]
Episode: 94; Score: [-3.31814908]; Action: [0.56905218]
Episode: 95; Score: [-1.37249541]; Action: [-0.41049702]
Episode: 96; Score: [-7.61721111]; Action: [-0.8439055]
Episode: 97; Score: [-7.08721365]; Action: [0.46904893]
Episode: 98; Score: [-4.80270229]; Action: [0.58668931]
Episode: 99; Score: [-10.16070908]; Action: [0.2021501]
Episode: 100; Score: [-8.72988868]; Action: [0.0799679]
Episode: 101; Score: [-8.94731964]; Action: [-0.89784733]
Episode: 102; Score: [-8.09569306]; Action: [0.21594765]
Episode: 103; Score: [-9.69999219]; Action: [-0.54670783]
Episode: 104; Score: [-3.20046574]; Action: [0.65907736]
Episode: 105; Score: [-3.01591739]; Action: [0.17526319]
Episode: 106; Score: [-8.5931724]; Action: [0.41406161]
Episode: 107; Score: [-2.99524752]; Action: [-0.83986867]
Episode: 108; Score: [-7.70155218]; Action: [-0.24443062]
Episode: 109; Score: [-2.65248168]; Action: [-0.75098974]
Episode: 110; Score: [-2.9533038]; Action: [-0.4155594]
Episode: 111; Score: [-9.19760602]; Action: [-0.44818439]
Episode: 112; Score: [-10.05819869]; Action: [0.79965649]
Episode: 113; Score: [-3.22830074]; Action: [0.30175168]
