Episode: 105; Score: [-9.72178193]; Action: [0.54255662]
Episode: 106; Score: [-6.68827624]; Action: [-0.33110828]
Episode: 107; Score: [-8.50744011]; Action: [0.79409259]
Episode: 108; Score: [-2.08060902]; Action: [0.7154757]
Episode: 109; Score: [-8.72542143]; Action: [0.71100722]
Episode: 110; Score: [-9.02964531]; Action: [-0.99577684]
Episode: 111; Score: [-5.70381545]; Action: [0.20017301]
Episode: 112; Score: [-8.77204813]; Action: [-0.40043118]
Episode: 113; Score: [-10.47234652]; Action: [0.23890512]
Episode: 114; Score: [-4.67043987]; Action: [-0.36995044]
Episode: 115; Score: [-3.29252813]; Action: [0.64697989]
Episode: 116; Score: [-5.29895931]; Action: [0.08159027]
Episode: 117; Score: [-9.94943489]; Action: [-1.]
Episode: 118; Score: [-0.71602227]; Action: [-0.2802381]
Episode: 119; Score: [-7.84694915]; Action: [0.28273192]
Episode: 120; Score: [-0.91462285]; Action: [-0.04831783]
Episode: 121; Score: [-3.45865298]; Action: [0.39125463]
Episode: 122; Score: [-2.79034578]; Action: [0.39816808]
Episode: 123; Score: [-6.39844644]; Action: [-0.80936849]
Episode: 124; Score: [-7.49251775]; Action: [-0.47917051]
Episode: 125; Score: [-8.63171085]; Action: [-0.40909429]
Episode: 126; Score: [-2.24348513]; Action: [-0.40510713]
Episode: 127; Score: [-4.78348967]; Action: [0.04268694]
