Episode: 0; Score: [10.09820801]; Action: [-0.90136173]
Episode: 1; Score: [7.4361441]; Action: [0.33952243]
Episode: 2; Score: [3.77731228]; Action: [0.43526125]
Episode: 3; Score: [2.26951593]; Action: [0.0639317]
Episode: 4; Score: [3.55278278]; Action: [0.39464573]
Episode: 5; Score: [4.99011166]; Action: [-0.28875948]
Episode: 6; Score: [2.39759669]; Action: [0.46707256]
Episode: 7; Score: [4.56294155]; Action: [-0.3971464]
Episode: 8; Score: [2.07701092]; Action: [-0.32512366]
Episode: 9; Score: [8.27703385]; Action: [0.69574364]
Episode: 10; Score: [2.97279533]; Action: [0.44267926]
Episode: 11; Score: [4.85537454]; Action: [-0.48047361]
Episode: 12; Score: [10.62240446]; Action: [-0.71858777]
Episode: 13; Score: [7.37071309]; Action: [0.51715499]
Episode: 14; Score: [8.44053423]; Action: [0.75301455]
Episode: 15; Score: [6.69962197]; Action: [1.]
Episode: 16; Score: [9.91181992]; Action: [-0.52151182]
Episode: 17; Score: [8.02463713]; Action: [0.03628216]
Episode: 18; Score: [1.7472351]; Action: [0.389164]
Episode: 19; Score: [6.45988011]; Action: [0.701215]
Episode: 20; Score: [7.10994663]; Action: [0.68528284]
Episode: 21; Score: [8.78556077]; Action: [-0.09417057]
Episode: 22; Score: [7.318714]; Action: [0.74317942]
Episode: 23; Score: [8.13987642]; Action: [-0.2661373]
Episode: 24; Score: [9.06556093]; Action: [-0.38284441]
Episode: 25; Score: [2.38739079]; Action: [0.41004677]
Episode: 26; Score: [10.56002046]; Action: [0.07220311]
Episode: 27; Score: [8.86222669]; Action: [0.68927961]
Episode: 28; Score: [6.61329673]; Action: [-0.60695268]
Episode: 29; Score: [9.64513875]; Action: [-0.28679408]
Episode: 30; Score: [3.69443804]; Action: [0.72914142]
Episode: 31; Score: [4.74822717]; Action: [-0.5694298]
Episode: 32; Score: [8.20369347]; Action: [-0.03220977]
Episode: 33; Score: [10.34492413]; Action: [0.1496696]
Episode: 34; Score: [5.96053284]; Action: [0.10748025]
Episode: 35; Score: [5.02626118]; Action: [0.93007352]
Episode: 36; Score: [1.95287072]; Action: [0.21939182]
Episode: 37; Score: [1.48682992]; Action: [0.43220722]
Episode: 38; Score: [8.64476261]; Action: [-0.52641211]
Episode: 39; Score: [2.19363894]; Action: [0.65053453]
Episode: 40; Score: [6.43905284]; Action: [0.10207357]
Episode: 41; Score: [2.31276635]; Action: [-0.25611336]
Episode: 42; Score: [2.27359431]; Action: [0.42184168]
Episode: 43; Score: [8.81290839]; Action: [-0.00114091]
Episode: 44; Score: [2.8110263]; Action: [-0.45772039]
Episode: 45; Score: [8.77245793]; Action: [0.02706154]
Episode: 46; Score: [2.23279771]; Action: [0.52667078]
Episode: 47; Score: [4.4517496]; Action: [-0.43561502]
Episode: 48; Score: [9.48178361]; Action: [-0.14185987]
Episode: 49; Score: [5.36118254]; Action: [-0.23038178]
Episode: 50; Score: [8.82224654]; Action: [0.14186053]
Episode: 51; Score: [2.58062329]; Action: [-0.73656805]
Episode: 52; Score: [8.51379484]; Action: [-0.63958248]
Episode: 53; Score: [7.51208202]; Action: [1.]
Episode: 54; Score: [3.20083588]; Action: [0.90090081]
Episode: 55; Score: [8.74050709]; Action: [-0.27209692]
Episode: 56; Score: [2.16416622]; Action: [0.14410308]
Episode: 57; Score: [0.56470658]; Action: [0.99367359]
Episode: 58; Score: [1.11619544]; Action: [-0.41007539]
Episode: 59; Score: [5.52880776]; Action: [0.4542796]
Episode: 60; Score: [9.0449395]; Action: [-0.35497844]
Episode: 61; Score: [3.20965732]; Action: [-0.15853721]
Episode: 62; Score: [7.41762332]; Action: [-0.91383961]
Episode: 63; Score: [5.91749368]; Action: [-0.19552739]
Episode: 64; Score: [2.88546774]; Action: [0.47528173]
Episode: 65; Score: [4.73373633]; Action: [0.2208932]
Episode: 66; Score: [6.85822055]; Action: [-0.38488708]
Episode: 67; Score: [7.28588401]; Action: [0.3189872]
Episode: 68; Score: [8.27667791]; Action: [0.91909786]
Episode: 69; Score: [6.73130234]; Action: [-1.]
Episode: 70; Score: [8.74148121]; Action: [0.64619537]
Episode: 71; Score: [5.24278247]; Action: [0.25990417]
Episode: 72; Score: [3.14903718]; Action: [-0.43734283]
Episode: 73; Score: [5.85353898]; Action: [0.0956633]
Episode: 74; Score: [6.70495535]; Action: [-0.88725313]
Episode: 75; Score: [1.07141784]; Action: [-0.0430226]
Episode: 76; Score: [2.74939147]; Action: [0.9693366]
Episode: 77; Score: [8.22984521]; Action: [0.55555225]
Episode: 78; Score: [9.65652569]; Action: [-0.44925901]
Episode: 79; Score: [11.02841626]; Action: [-0.83570849]
Episode: 80; Score: [7.06165793]; Action: [0.86252265]
Episode: 81; Score: [2.56164493]; Action: [0.82423111]
Episode: 82; Score: [1.93249384]; Action: [-0.492731]
Episode: 83; Score: [1.06753453]; Action: [-0.19549995]
Episode: 84; Score: [6.66190544]; Action: [0.34213259]
Episode: 85; Score: [7.63295018]; Action: [0.20565386]
Episode: 86; Score: [2.75614864]; Action: [0.5311048]
Episode: 87; Score: [8.73287562]; Action: [1.]
Episode: 88; Score: [2.42907215]; Action: [-0.45750572]
Episode: 89; Score: [8.61625478]; Action: [0.23992249]
Episode: 90; Score: [2.5775878]; Action: [0.83743168]
Episode: 91; Score: [4.48092212]; Action: [-0.69879475]
Episode: 92; Score: [10.4827035]; Action: [-1.]
Episode: 93; Score: [2.39403455]; Action: [-0.37327328]
Episode: 94; Score: [7.51732624]; Action: [-1.]
Episode: 95; Score: [7.34957859]; Action: [-0.54621895]
Episode: 96; Score: [6.65416495]; Action: [0.52510389]
Episode: 97; Score: [3.31386963]; Action: [0.83301258]
Episode: 98; Score: [2.12520649]; Action: [0.23012348]
Episode: 99; Score: [5.06409404]; Action: [-0.31083342]
Episode: 100; Score: [1.50020393]; Action: [0.55574004]
Episode: 101; Score: [8.68187148]; Action: [0.49273863]
Episode: 102; Score: [2.2247197]; Action: [0.88280283]
Episode: 103; Score: [2.39432221]; Action: [-0.87296904]
Episode: 104; Score: [8.36147211]; Action: [0.25141745]
Episode: 105; Score: [8.38942958]; Action: [-1.]
Episode: 106; Score: [8.41227629]; Action: [-0.58846284]
Episode: 107; Score: [2.22608693]; Action: [-0.54324779]
Episode: 108; Score: [8.8030808]; Action: [-0.67252263]
Episode: 109; Score: [6.77912915]; Action: [-0.85887722]
Episode: 110; Score: [3.26561116]; Action: [0.44679559]
Episode: 111; Score: [2.1898695]; Action: [-0.01081581]
Episode: 112; Score: [8.34256765]; Action: [0.3013675]
Episode: 113; Score: [5.02831286]; Action: [0.20746905]
Episode: 114; Score: [5.82631451]; Action: [0.22483637]
Episode: 115; Score: [10.45527176]; Action: [0.04837362]
Episode: 116; Score: [8.64214397]; Action: [-0.13948735]
Episode: 117; Score: [9.43598536]; Action: [-0.63170557]
Episode: 118; Score: [3.90100009]; Action: [0.93039535]
Episode: 119; Score: [6.93178862]; Action: [-0.9422196]
Episode: 120; Score: [7.99605706]; Action: [0.1679569]
Episode: 121; Score: [4.71291265]; Action: [0.88670859]
Episode: 122; Score: [1.72620611]; Action: [0.37050963]
Episode: 123; Score: [7.62576588]; Action: [0.63500945]
Episode: 124; Score: [3.28062701]; Action: [0.47434764]
Episode: 125; Score: [11.10559517]; Action: [-0.39986906]
Episode: 126; Score: [2.37559923]; Action: [0.23891119]
