Episode: 0; Score: 1.0; Action: [2 1 1 2 2]
Episode: 1; Score: -0.2; Action: [1 1 0 2 1]
Episode: 2; Score: -0.4; Action: [2 2 2 1 0]
Episode: 3; Score: -0.6000000000000001; Action: [2 1 0 0 0]
Episode: 4; Score: 1.0; Action: [2 1 1 2 2]
Episode: 5; Score: -0.2; Action: [1 2 0 2 2]
Episode: 6; Score: -0.4; Action: [1 0 2 0 2]
Episode: 7; Score: -0.6000000000000001; Action: [1 1 0 1 2]
Episode: 8; Score: 1.0; Action: [1 1 1 1 1]
Episode: 9; Score: -0.2; Action: [2 0 1 0 1]
Episode: 10; Score: -0.4; Action: [0 2 0 2 1]
Episode: 11; Score: -0.6000000000000001; Action: [0 1 1 0 2]
Episode: 12; Score: 1.0; Action: [1 1 1 1 1]
Episode: 13; Score: -0.2; Action: [1 1 2 2 1]
Episode: 14; Score: -0.4; Action: [1 2 1 1 0]
Episode: 15; Score: -0.6000000000000001; Action: [0 1 1 0 2]
Episode: 16; Score: 1.0; Action: [2 1 2 2 2]
Episode: 17; Score: -0.2; Action: [2 0 1 0 1]
Episode: 18; Score: -0.4; Action: [2 2 0 1 0]
Episode: 19; Score: -0.6000000000000001; Action: [0 0 2 0 1]
Episode: 20; Score: 5.0; Action: [0 0 0 0 0]
Episode: 21; Score: -0.2; Action: [2 2 2 2 2]
Episode: 22; Score: -0.4; Action: [1 2 0 2 1]
Episode: 23; Score: -0.6000000000000001; Action: [2 1 2 0 0]
Episode: 24; Score: 1.0; Action: [2 1 2 2 2]
Episode: 25; Score: -0.2; Action: [2 0 0 2 0]
Episode: 26; Score: -0.4; Action: [2 2 1 0 0]
Episode: 27; Score: -0.6000000000000001; Action: [1 0 2 1 1]
Episode: 28; Score: 1.0; Action: [2 1 1 2 2]
Episode: 29; Score: -0.2; Action: [1 1 2 2 2]
Episode: 30; Score: -0.4; Action: [1 0 0 0 0]
Episode: 31; Score: -0.6000000000000001; Action: [1 0 0 0 2]
Episode: 32; Score: 5.0; Action: [0 0 0 0 0]
Episode: 33; Score: -0.2; Action: [0 0 0 2 0]
Episode: 34; Score: -0.4; Action: [2 2 1 1 2]
Episode: 35; Score: -0.6000000000000001; Action: [2 0 1 1 0]
Episode: 36; Score: 5.0; Action: [0 0 0 0 0]
Episode: 37; Score: -0.2; Action: [2 2 2 1 2]
Episode: 38; Score: -0.4; Action: [1 1 0 2 1]
Episode: 39; Score: -0.6000000000000001; Action: [2 2 1 1 0]
Episode: 40; Score: 1.0; Action: [2 1 2 2 2]
