Episode: 105; Score: [-7.45211684]; Action: [-0.73940213]
Episode: 106; Score: [-6.91766315]; Action: [0.79837467]
Episode: 107; Score: [-6.78353546]; Action: [-0.94039095]
Episode: 108; Score: [-5.97196644]; Action: [-0.7568677]
Episode: 109; Score: [-7.30985295]; Action: [-0.63489116]
Episode: 110; Score: [-7.25045783]; Action: [-0.18611683]
Episode: 111; Score: [-5.86831237]; Action: [0.13842009]
Episode: 112; Score: [-7.23620083]; Action: [0.87535921]
Episode: 113; Score: [-11.07491196]; Action: [-0.32961227]
Episode: 114; Score: [-7.97888305]; Action: [0.19526711]
Episode: 115; Score: [-7.57211592]; Action: [0.59547156]
Episode: 116; Score: [-6.85852979]; Action: [0.07366023]
Episode: 117; Score: [-10.01030526]; Action: [0.04957758]
Episode: 118; Score: [-6.43090098]; Action: [0.47257284]
Episode: 119; Score: [-8.46861186]; Action: [0.82934161]
Episode: 120; Score: [-7.73695306]; Action: [0.84619511]
Episode: 121; Score: [-2.14262307]; Action: [0.62181233]
Episode: 122; Score: [-4.61672661]; Action: [-0.09655844]
Episode: 123; Score: [-8.49752901]; Action: [-0.09700077]
Episode: 124; Score: [-2.830072]; Action: [-0.79194554]
Episode: 125; Score: [-8.4584513]; Action: [-0.06411848]
Episode: 126; Score: [-2.29180346]; Action: [0.77061722]
Episode: 127; Score: [-2.84529729]; Action: [0.89401123]
