Episode: 108; Score: [8.20209847]; Action: [0.05041161]
Episode: 109; Score: [3.74591245]; Action: [-0.04488097]
Episode: 110; Score: [1.83383919]; Action: [-0.39430103]
Episode: 111; Score: [7.76605139]; Action: [-0.22003479]
Episode: 112; Score: [9.55738451]; Action: [-1.]
Episode: 113; Score: [5.82775321]; Action: [-0.49136818]
Episode: 114; Score: [2.73925565]; Action: [0.58013782]
Episode: 115; Score: [9.79436895]; Action: [0.06460839]
Episode: 116; Score: [7.62378801]; Action: [-1.]
Episode: 117; Score: [7.4669244]; Action: [0.98400133]
Episode: 118; Score: [7.34630645]; Action: [0.47589905]
Episode: 119; Score: [6.93407183]; Action: [-0.11136274]
Episode: 120; Score: [0.7909982]; Action: [0.03610549]
Episode: 121; Score: [6.51791157]; Action: [-0.9306593]
Episode: 122; Score: [8.8036291]; Action: [0.61067244]
Episode: 123; Score: [6.41877666]; Action: [-0.07176727]
Episode: 124; Score: [2.46140283]; Action: [0.85313071]
Episode: 125; Score: [8.25329051]; Action: [-0.6361303]
Episode: 126; Score: [1.3944912]; Action: [0.32851034]
Episode: 127; Score: [8.92212248]; Action: [0.55376844]
